Buy Date,Ticker,Buy Strat,Last Alert Date,Stop Loss,Buy Price,Target,Call,Status,CMP,Quantity,Hit Type,Sell Price,Sell Date
10/9/2024,POLOHOT.BO,EWBB_W,10/9/2024,8.55,8.72,0,Long,Open,8.850000381,5882,,,
10/9/2024,POLYLINK.BO,EW_DC,10/9/2024,34.51,36.49,0,Long,Open,37.49000168,505,,,
10/9/2024,PORWAL.BO,ATREWBBLR_DC,10/9/2024,51.51,61.24,0,Long,Open,66.19999695,103,,,
10/9/2024,POWERINDIA.NS,BB_W,10/8/2024,10804.95,13540.36,0,Long,Open,15840.7002,0,,,
10/9/2024,PPL.NS,EW_BW,10/9/2024,526.65,578.71,0,Long,Open,581,19,,,
10/9/2024,PRECOT.NS,EW_DC,10/9/2024,399.8,417.66,0,Long,Open,448.3999939,56,,,
10/9/2024,PRIMAIN.BO,EWBB_DC,10/9/2024,19.01,21.4,0,Long,Open,22.29999924,418,,,
10/9/2024,PRIMIND.BO,EW_DC,10/9/2024,157,161.06,0,Long,Open,163.8999939,246,,,
10/9/2024,PRITHVIEXCH.BO,EW_BW,10/9/2024,386,423.75,0,Long,Open,468,26,,,
10/9/2024,PRSMJOHNSN.NS,EW_BW,10/9/2024,154,197.45,0,Long,Open,184.8399963,23,,,
10/9/2024,PRSNTIN.BO,EW_W,10/9/2024,8.95,9.44,0,Long,Open,13.23999977,2041,,,
10/9/2024,PURVA.NS,EW_DC,10/9/2024,348.55,379.71,0,Long,Open,410.1000061,32,,,
10/9/2024,RADICO.NS,ATREW_UC,10/9/2024,1927.75,2038.82,0,Long,Open,2200.050049,9,,,
10/9/2024,RAINBOWF.BO,BB_DC,10/8/2024,21.79,21.44,0,Long,Open,24.5,-2857,,,
10/9/2024,RAJMET.NS,EW_DC,10/9/2024,9.6,10.3,0,Long,Open,9.960000038,1429,,,
10/9/2024,RAJRATAN.NS,EW_W,10/9/2024,526,547.74,0,Long,Open,552.9500122,46,,,
10/9/2024,RAMANEWS.NS,EW_DC,10/9/2024,18.61,19.65,0,Long,Open,19.10000038,962,,,
10/9/2024,RAMCOSYS.NS,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,404,#N/A,,,
10/9/2024,RAMGOPOLY.BO,EW_W,10/9/2024,4.51,6.31,0,Long,Open,5.730000019,556,,,
10/9/2024,RAMKY.NS,EW_DC,10/9/2024,601,641.6,0,Long,Open,663.5999756,25,,,
10/9/2024,RELICTEC.BO,BB_DT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.25,#N/A,,,
10/9/2024,REPRO.NS,EW_DC,10/9/2024,554.75,581.75,0,Long,Open,601.4000244,37,,,
10/9/2024,RESPONSINF.BO,EW_BW,10/9/2024,62.12,65.44,0,Long,Open,66.01999664,301,,,
