Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
BERYLSE.BO,2024-10-25,28.63,,Long,Open,2024-10-31,BB_DC,2024-10-25,27.9,28.63,,Long,Open,33.58,2024-11-01,1369.8630136986294,,,India
BGRENERGY.NS,2024-10-31,39.56,,Long,Open,2024-10-31,EW_BW,2024-10-31,34.5,39.56,,Long,Open,40.64,2024-11-01,197.62845849802363,,,India
BHARATSE.BO,2024-10-28,158.9,,Long,Open,2024-10-31,BB_DC,2024-10-28,155.25,158.9,,Long,Open,206.45,2024-11-01,273.9726027397256,,,India
BLIL.BO,2024-10-30,74.06,,Long,Open,2024-10-31,BB_DC,2024-10-30,72.07,74.06,,Long,Open,82.94,2024-11-01,502.5125628140681,,,India
BLUECHIPT.BO,2024-10-31,161.09,,Long,Open,2024-10-31,EW_DC,2024-10-31,140.7,161.09,,Long,Open,162.45,2024-11-01,49.043648847474216,,,India
BROOKS.NS,2024-10-31,130.4,,Long,Open,2024-10-31,EW_BW,2024-10-31,125.0,130.4,,Long,Open,139.24,2024-11-01,185.185185185185,,,India
BYKE.NS,2024-10-30,62.51,,Long,Open,2024-10-31,ATR_BW,2024-10-30,60.03,62.51,,Long,Open,73.78,2024-11-01,403.22580645161344,,,India
CALSOFT.NS,2024-10-31,18.74,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,17.51,18.74,,Long,Open,19.15,2024-11-01,813.0081300813029,,,India
CAMEXLTD.BO,2024-10-29,55.82,,Long,Open,2024-10-31,BB_DC,2024-10-29,47.01,55.82,,Long,Open,59.36,2024-11-01,113.50737797956864,,,India
CARYSIL.NS,2024-10-30,778.21,,Long,Open,2024-10-31,BB_W,2024-10-30,739.65,778.21,,Long,Open,804.8,2024-11-01,25.933609958506185,,,India
CCL.NS,2024-10-30,633.5,,Long,Open,2024-10-31,ATRLR_DC,2024-10-30,616.65,633.5,,Long,Open,678.15,2024-11-01,59.347181008902,,,India
CENTUM.NS,2024-10-30,1697.04,,Long,Open,2024-10-31,ATR_DC,2024-10-30,1606.3,1697.04,,Long,Open,1844.2,2024-11-01,11.020498126515315,,,India
CHANDRAP.BO,2024-10-31,25.65,,Long,Open,2024-10-31,EW_DC,2024-10-31,23.5,25.65,,Long,Open,26.04,2024-11-01,465.11627906976776,,,India
