Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
ACME.BO,10/4/2024,34.03,39.27,34.00,8.00,0.00
ACME.BO,10/9/2024,35.00,39.27,32.30,0.00,0.00
ACTIVE.BO,9/9/2024,104.70,,,,
ACROW.BO,10/4/2024,761.25,1020.00,601.00,5.00,5.00
ACROW.BO,10/9/2024,760.00,1020.00,601.00,6.00,6.00
ADANIGREEN.NS,10/4/2024,1801.20,2091.00,1775.75,0.00,1.00
ADANIGREEN.NS,10/9/2024,1784.45,2091.00,1725.55,0.00,0.00
ADANIENT.NS,10/4/2024,3110.65,3209.90,2890.35,0.00,0.00
ADANIENT.NS,10/9/2024,3153.75,3209.90,2890.35,0.00,1.00
ADANIPORTS.NS,10/4/2024,1413.70,1604.95,1394.45,2.00,1.00
ADANIPORTS.NS,10/9/2024,1408.15,1604.95,1337.00,0.00,0.00
ADANIPOWER.NS,10/4/2024,642.10,752.90,620.00,7.00,6.00
ADANIPOWER.NS,10/9/2024,634.30,752.90,613.20,0.00,0.00
ADARSHPL.BO,10/4/2024,31.92,38.50,30.35,1.00,1.00
ADARSHPL.BO,10/9/2024,31.33,38.50,29.14,0.00,0.00
ADCINDIA.BO,10/4/2024,1885.35,2280.35,1850.00,1.00,1.00
ADCINDIA.BO,10/9/2024,1914.85,2280.35,1725.00,0.00,0.00
ADCON.BO,10/4/2024,1.02,1.17,0.77,1.00,1.00
ADCON.BO,10/9/2024,0.98,1.17,0.77,0.00,2.00
ADDIND.BO,10/4/2024,41.45,52.95,40.22,0.00,0.00
ADDIND.BO,10/9/2024,40.38,52.95,38.00,0.00,0.00
ADFFOODS.NS,10/4/2024,285.25,302.95,209.11,0.00,0.00
ADFFOODS.NS,10/9/2024,318.25,324.50,209.11,0.00,0.00
ADIEXRE.BO,10/4/2024,26.10,28.50,19.50,1.00,2.00
ADIEXRE.BO,10/9/2024,24.90,28.50,19.50,2.00,3.00
ADINATH.BO,10/4/2024,30.41,34.10,28.01,10.00,0.00
ADINATH.BO,10/9/2024,29.47,34.10,28.01,11.00,1.00
ADITYA.BO,10/4/2024,10.49,12.46,9.80,7.00,7.00
ADITYA.BO,10/9/2024,10.29,12.46,9.00,0.00,0.00
ADITYASP.BO,10/4/2024,27.78,29.55,17.35,0.00,0.00
ADITYASP.BO,10/9/2024,26.53,29.55,17.35,0.00,1.00
ADL.NS,10/4/2024,104.12,146.60,84.05,3.00,3.00
ADL.NS,10/9/2024,102.17,146.60,96.49,0.00,4.00
ADMANUM.BO,10/4/2024,116.45,142.32,66.70,1.00,1.00
ADMANUM.BO,10/9/2024,108.80,142.32,66.70,0.00,2.00
ADORFO.BO,9/20/2024,137.05,159.05,127.80,1.00,0.00
ADORFO.BO,9/24/2024,142.50,159.05,127.80,2.00,1.00
ADORMUL.BO,10/4/2024,38.20,45.90,34.30,2.00,5.00
ADORMUL.BO,10/9/2024,36.97,45.90,34.10,0.00,0.00
ADORWELD.NS,10/4/2024,1341.75,1449.40,1269.80,4.00,1.00
ADORWELD.NS,10/9/2024,1361.05,1449.40,1300.00,5.00,2.00
ADROITINFO.NS,10/4/2024,18.67,21.90,17.25,1.00,5.00
ADROITINFO.NS,10/9/2024,21.97,24.99,17.11,0.00,0.00
ADSL.NS,10/4/2024,262.95,319.90,255.90,0.00,4.00
ADSL.NS,10/9/2024,287.40,319.90,240.00,0.00,0.00
ADVAIT.BO,10/4/2024,1794.05,2173.25,1740.00,2.00,1.00
ADVAIT.BO,10/9/2024,1767.55,2173.25,1635.00,0.00,0.00
ADVANIHOTR.NS,10/4/2024,73.58,83.15,70.80,0.00,0.00
ADVANIHOTR.NS,10/9/2024,72.77,83.15,68.50,0.00,0.00
ADVENZYMES.NS,10/4/2024,492.00,571.00,356.45,0.00,2.00
ADVENZYMES.NS,10/9/2024,489.60,571.00,356.45,0.00,3.00
ADVPETR-B.BO,9/23/2024,290.70,330.00,290.70,,0.00
ADVPETR-B.BO,9/30/2024,276.20,330.00,276.20,,0.00
ADVIKCA.BO,10/4/2024,2.75,3.06,2.46,0.00,1.00
ADVIKCA.BO,10/9/2024,3.23,3.29,2.46,0.00,0.00
AEGISCHEM.NS,8/2/2024,735.35,970.00,732.00,0.00,3.00
AEGISCHEM.NS,8/7/2024,733.40,970.00,712.00,0.00,0.00
AEGISLOG.BO,10/4/2024,724.35,867.10,716.25,8.00,4.00
AEGISLOG.BO,10/9/2024,698.35,867.10,647.90,0.00,0.00
AEL.BO,10/4/2024,182.10,249.00,181.45,0.00,0.00
AEL.BO,10/9/2024,193.75,249.00,173.00,0.00,0.00
AFFLE.NS,10/4/2024,1533.80,1715.00,1484.90,2.00,5.00
AFFLE.NS,10/9/2024,1609.10,1715.00,1470.05,0.00,0.00
AGARIND.NS,10/4/2024,1122.65,1341.10,1095.00,0.00,0.00
AGARIND.NS,10/9/2024,1119.75,1341.10,1050.00,0.00,0.00
AFEL.BO,10/4/2024,19.06,19.06,12.87,0.00,0.00
AFEL.BO,10/9/2024,18.68,19.81,12.87,0.00,0.00
AGIIL.BO,10/4/2024,988.75,1184.00,895.00,2.00,2.00
AGIIL.BO,10/9/2024,932.95,1184.00,895.00,3.00,3.00
AGIOPAPER.BO,10/4/2024,8.18,8.61,4.25,1.00,1.00
AGIOPAPER.BO,10/8/2024,8.18,8.61,4.25,2.00,2.00
AGRITECH.NS,10/4/2024,217.23,246.99,205.30,10.00,10.00
AGRITECH.NS,10/9/2024,236.10,246.99,201.00,11.00,0.00
AHLADA.NS,10/4/2024,104.36,125.90,102.46,0.00,4.00
AHLADA.NS,10/9/2024,105.03,125.90,98.27,0.00,0.00
AGROPHOS.NS,10/4/2024,47.31,49.50,41.91,2.00,0.00
AGROPHOS.NS,10/9/2024,46.69,49.50,41.91,3.00,1.00
AHLEAST.NS,10/4/2024,166.44,176.00,129.11,0.00,0.00
AHLEAST.NS,10/9/2024,163.46,176.00,129.11,1.00,1.00
AHLUCONT.NS,10/4/2024,1112.85,1542.45,1092.40,0.00,0.00
AHLUCONT.NS,10/9/2024,1097.80,1542.45,1055.00,0.00,0.00
AHLWEST.BO,10/4/2024,141.25,300.00,141.25,118.00,118.00
AHLWEST.BO,10/8/2024,141.25,300.00,141.25,119.00,119.00
AHMDSTE.BO,10/4/2024,302.55,302.55,33.80,0.00,0.00
AHMDSTE.BO,10/9/2024,321.00,321.00,33.80,0.00,0.00
AIAENG.NS,10/4/2024,4257.35,4949.95,4157.60,0.00,0.00
AIAENG.NS,10/9/2024,4111.05,4949.95,4085.00,0.00,0.00
AIIL.BO,10/4/2024,1801.85,1825.00,961.60,0.00,0.00
AIIL.BO,10/9/2024,1827.20,1850.00,961.60,0.00,0.00
AICHAMP.BO,10/4/2024,44.04,63.47,42.00,2.00,2.00
AICHAMP.BO,10/9/2024,43.24,63.47,40.11,0.00,0.00
AIMCOPEST.BO,10/4/2024,99.20,103.05,97.25,0.00,0.00
AIMCOPEST.BO,10/9/2024,104.57,105.00,94.00,0.00,0.00
AIRAN.NS,10/4/2024,35.55,48.78,34.96,0.00,7.00
AIRAN.NS,10/9/2024,35.22,48.78,32.08,0.00,0.00
AIROLAM.NS,10/4/2024,135.14,142.70,125.71,8.00,6.00
AIROLAM.NS,10/9/2024,141.60,164.00,125.71,0.00,0.00
AJANTSOY.BO,10/4/2024,48.16,51.00,40.80,0.00,4.00
AJANTSOY.BO,10/9/2024,45.70,51.00,40.80,1.00,5.00
AJANTPHARM.NS,10/4/2024,3324.75,3485.00,2111.05,1.00,3.00
AJANTPHARM.NS,10/9/2024,3374.75,3485.00,2111.05,2.00,4.00
AJEL.BO,10/4/2024,16.81,28.59,15.70,1.00,1.00
AJEL.BO,10/9/2024,16.75,28.59,15.70,2.00,2.00
AJCON.BO,10/4/2024,43.93,56.65,37.50,1.00,1.00
AJCON.BO,10/9/2024,44.53,56.65,37.50,2.00,2.00
AJOONI.NS,10/4/2024,8.06,10.34,7.85,0.00,4.00
AJOONI.NS,10/9/2024,8.43,10.34,7.30,0.00,0.00
AJMERA.NS,10/4/2024,641.85,738.00,634.60,0.00,0.00
AJMERA.NS,10/9/2024,662.80,738.00,609.55,0.00,0.00
AJWAFUN.BO,9/18/2024,26.87,29.00,6.51,0.00,1.00
AJWAFUN.BO,9/23/2024,24.26,29.00,6.51,0.00,2.00
AKASH.NS,10/4/2024,37.60,48.45,36.06,8.00,8.00
AKASH.NS,10/9/2024,37.06,48.45,33.85,0.00,0.00
AKCAPIT.BO,10/4/2024,1077.00,1175.00,1005.00,3.00,4.00
AKCAPIT.BO,10/9/2024,1109.95,1175.00,1005.00,4.00,5.00
AKG.NS,10/4/2024,19.70,25.68,19.35,0.00,0.00
AKG.NS,10/9/2024,20.13,25.68,17.90,0.00,0.00
AKI.BO,10/4/2024,20.09,23.10,18.90,2.00,1.00
AKI.BO,10/9/2024,19.98,23.10,18.90,3.00,2.00
AKSHAR.BO,10/4/2024,1.59,2.70,1.55,0.00,0.00
AKSHAR.BO,10/9/2024,1.54,2.70,1.50,0.00,0.00
AKSHARCHEM.NS,10/4/2024,315.50,374.95,300.00,0.00,0.00
AKSHARCHEM.NS,10/9/2024,316.60,374.95,296.60,0.00,0.00
AKSPINTEX.BO,10/4/2024,257.10,257.10,193.15,0.00,0.00
AKSPINTEX.BO,10/9/2024,272.70,272.70,193.15,0.00,0.00
AKSHOPTFBR.NS,10/4/2024,8.16,9.39,8.00,0.00,0.00
AKSHOPTFBR.NS,10/9/2024,8.60,9.39,7.90,0.00,0.00
ALANKIT.NS,10/4/2024,22.64,29.61,22.50,0.00,0.00
ALANKIT.NS,10/9/2024,23.14,29.61,21.25,0.00,0.00
AKZOINDIA.NS,10/4/2024,3820.70,3971.25,2752.00,1.00,3.00
AKZOINDIA.NS,10/9/2024,4338.85,4649.00,2752.00,0.00,0.00
ALBERTDAVD.NS,10/4/2024,1475.50,1753.95,1112.45,2.00,4.00
ALBERTDAVD.NS,10/9/2024,1454.75,1753.95,1365.10,0.00,5.00
ALEXANDER.BO,10/4/2024,16.38,18.95,15.20,,0.00
ALEXANDER.BO,10/9/2024,16.09,18.95,14.55,,0.00
ALEMBICLTD.NS,10/4/2024,140.79,169.00,136.80,1.00,1.00
ALEMBICLTD.NS,10/9/2024,138.19,169.00,130.65,0.00,0.00
ALFAICA.BO,10/4/2024,89.98,126.00,81.02,2.00,7.00
ALFAICA.BO,10/9/2024,87.56,126.00,81.02,3.00,8.00
ALFATRAN.BO,10/4/2024,91.48,101.35,77.74,6.00,3.00
ALFATRAN.BO,10/9/2024,96.29,101.35,77.74,7.00,4.00
ALFAVIO.BO,10/4/2024,17.54,18.61,15.23,0.00,1.00
ALFAVIO.BO,10/9/2024,17.30,18.61,15.23,1.00,2.00
ALFL.BO,10/4/2024,2.03,2.19,1.91,1.00,13.00
ALFL.BO,10/9/2024,2.00,2.19,1.92,0.00,14.00
ALFREDHE.BO,10/4/2024,1600.15,1889.00,1359.00,2.00,3.00
ALFREDHE.BO,10/9/2024,1745.00,1889.00,1359.00,3.00,4.00
ALICON.NS,10/4/2024,1310.75,1541.90,1281.60,0.00,0.00
ALICON.NS,10/9/2024,1309.05,1541.90,1241.65,0.00,0.00
ALKALI.NS,10/4/2024,118.09,140.44,112.99,5.00,4.00
ALKALI.NS,10/9/2024,120.18,140.44,112.00,0.00,0.00
ALKEM.NS,10/4/2024,6194.15,6439.90,4407.05,1.00,3.00
ALKEM.NS,10/9/2024,6294.10,6439.90,4407.05,2.00,4.00
ALKYLAMINE.NS,10/4/2024,2290.00,2498.85,1961.90,2.00,2.00
ALKYLAMINE.NS,10/9/2024,2294.85,2498.85,2178.60,0.00,3.00
ALLCARGO.NS,10/4/2024,63.01,74.49,62.42,0.00,5.00
ALLCARGO.NS,10/9/2024,61.56,74.49,59.15,0.00,0.00
ALLSEC.NS,10/4/2024,1018.55,1210.00,987.00,0.00,0.00
ALLSEC.NS,10/8/2024,1002.35,1210.00,955.50,0.00,0.00
ALMONDZ.NS,10/4/2024,30.74,39.13,28.15,3.00,2.00
ALMONDZ.NS,10/9/2024,30.70,39.13,28.15,4.00,3.00
ALNATRD.BO,10/4/2024,28.95,,,,
ALNATRD.BO,10/8/2024,28.95,,,,
ALOKINDS.NS,10/4/2024,25.72,29.79,24.93,7.00,0.00
ALOKINDS.NS,10/9/2024,25.07,29.79,24.11,0.00,0.00
ALPA.NS,10/4/2024,125.63,144.50,69.90,0.00,0.00
ALPA.NS,10/9/2024,119.79,144.50,69.90,0.00,1.00
ALPHAGEO.NS,10/4/2024,443.25,458.60,400.00,1.00,0.00
ALPHAGEO.NS,10/9/2024,412.85,458.60,400.00,2.00,1.00
ALPINEHOU.BO,10/4/2024,102.35,157.00,99.00,3.00,3.00
ALPINEHOU.BO,10/9/2024,103.10,157.00,99.00,4.00,4.00
ALSL.BO,9/9/2024,153.70,,,,
ALSTONE.BO,10/4/2024,0.74,0.91,0.72,0.00,0.00
ALSTONE.BO,10/9/2024,0.75,0.91,0.67,0.00,0.00
ALPSINDUS.NS,10/4/2024,4.12,4.12,3.34,0.00,0.00
ALPSINDUS.NS,10/9/2024,3.77,4.31,3.34,0.00,0.00
ALUFLUOR.BO,10/4/2024,387.45,525.00,375.00,0.00,0.00
ALUFLUOR.BO,10/9/2024,391.05,525.00,360.00,0.00,0.00
AMAL.BO,10/4/2024,319.30,410.85,295.50,0.00,0.00
AMAL.BO,10/9/2024,330.00,410.85,295.50,1.00,0.00
AMALGAM.BO,10/4/2024,98.60,117.00,45.60,0.00,1.00
AMALGAM.BO,10/9/2024,94.45,117.00,45.60,0.00,2.00
AMARAJABAT.NS,12/22/2023,760.85,799.60,599.00,0.00,0.00
AMARAJABAT.NS,12/28/2023,820.45,824.00,599.00,0.00,0.00
AMARJOTHI.BO,10/4/2024,209.00,238.00,203.05,0.00,9.00
AMARJOTHI.BO,10/9/2024,207.95,238.00,186.90,0.00,0.00
