"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-25","2024-02-02",NULL,"D_EW","DCMNVL","2288","187.00","2288","197.00","167.00","197.00",12
"2024-01-25","2024-01-31",NULL,"D_EW","DPABHUSHAN","244","726.00","244","742.00","540.00","742.00",12
"2024-01-25","2024-01-30",NULL,"D_EW","EMMBI","1343","130.00","1343","132.00","96.00","132.00",12
"2024-01-25","2024-02-01",NULL,"D_EW","FINEORG","99","4671.00","99","4748.00","4215.00","4748.00",12
"2024-01-25","2024-01-30",NULL,"D_EW","IFGLEXPOR","136","768.00","136","840.00","435.00","840.00",12
"2024-01-25","2024-01-31",NULL,"D_EW","NAM-INDIA","158","517.00","158","533.00","230.00","533.00",12
"2024-01-25","2024-01-29",NULL,"D_EW","NDTV","493","278.00","493","284.00","186.00","284.00",12
"2024-01-25","2024-01-31",NULL,"D_EW","PDMJEPAPER","2713","60.00","2713","80.00","43.00","80.00",12
"2024-01-25","2024-02-01",NULL,"D_EW","SGL","12083","18.00","12083","19.00","14.00","19.00",12
"2024-01-25","2024-02-06",NULL,"D_EW","SIMBHALS","23847","29.00","23847","36.00","27.00","36.00",12
"2024-01-25","2024-01-31",NULL,"D_EW","THEMISMED","539","226.00","539","241.00","142.00","241.00",12
"2024-01-25","2024-02-01",NULL,"D_EW","VAKRANGEE","6763","23.00","6763","31.00","16.00","31.00",12
"2024-01-29","2024-01-31",NULL,"D_EW","ALKALI","4647","140.00","4647","152.00","130.00","152.00",8
"2024-01-29","2024-02-01",NULL,"D_EW","ARCHIES","4119","33.00","4119","37.00","22.00","37.00",8
"2024-01-29","2024-02-02",NULL,"D_EW","DBL","1515","395.00","1515","421.00","365.00","421.00",8
"2024-01-29","2024-01-31",NULL,"D_EW","ENERGYDEV","3975","28.00","3975","31.00","17.00","31.00",8
"2024-01-29","2024-01-29",NULL,"D_EW","GNFC","919","752.00","919","750.00","703.00","750.00",8
"2024-01-29","2024-02-02",NULL,"D_EW","INFOMEDIA","27461","7.00","27461","7.00","5.00","7.00",8
