Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
RELICTEC.BO,9/27/2024,14.50,13.00,0.00,24.00,13.00,15.98,15.26,14.54,1
RELINFRA.NS,9/27/2024,322.95,18.00,0.00,27.00,18.00,384.70,336.93,289.15,1
RENUKA.NS,9/27/2024,53.05,14.00,0.00,20.00,14.00,51.27,49.41,47.54,1
REMSONSIND.NS,9/27/2024,225.46,19.00,0.00,59.00,19.00,223.49,214.40,205.31,1
RESPONSINF.BO,9/27/2024,73.50,6.00,0.00,9.00,6.00,77.09,73.32,69.54,1
RESTILE.BO,9/27/2024,9.20,5.00,0.00,7.00,5.00,10.62,10.30,9.99,1
RHFL.NS,9/27/2024,5.56,11.00,0.00,13.00,11.00,5.66,5.40,5.13,1
RICHAIND.BO,9/27/2024,2.04,5.00,0.00,14.00,5.00,2.31,2.27,2.23,1
RISHILASE.BO,9/27/2024,165.85,9.00,0.00,20.00,9.00,183.02,176.85,170.67,1
RISHIROOP.BO,9/27/2024,199.90,5.00,0.00,7.00,5.00,209.49,206.67,203.85,1
RITES.NS,9/27/2024,358.55,7.00,0.00,9.00,7.00,462.06,450.91,439.76,1
RISHITECH.BO,9/27/2024,59.10,37.00,0.00,50.00,37.00,0.00,0.00,0.00,1
RITESHIN.BO,9/27/2024,29.99,7.00,0.00,33.00,7.00,29.93,28.38,26.82,1
RLF.BO,9/27/2024,11.65,14.00,0.00,17.00,14.00,13.23,12.60,11.97,1
RIIL.NS,9/27/2024,1272.35,6.00,0.00,26.00,6.00,1669.03,1578.05,1487.07,1
RLFL.BO,9/27/2024,2.54,14.00,0.00,18.00,14.00,2.55,2.46,2.38,1
RMCL.NS,9/26/2024,200.00,199.00,0.00,210.00,199.00,209.75,201.72,193.68,1
RNBDENIMS.BO,9/27/2024,75.00,30.00,0.00,34.00,30.00,76.16,74.98,73.80,1
ROHLTD.NS,9/27/2024,359.85,31.00,0.00,43.00,31.00,408.08,393.98,379.88,1
RKFORGE.NS,9/27/2024,1018.70,44.00,0.00,58.00,44.00,1066.91,1030.38,993.85,1
ROSSARI.NS,9/27/2024,915.10,14.00,0.00,24.00,14.00,970.62,951.29,931.97,1
RPOWER.NS,9/27/2024,46.35,11.00,0.00,26.00,11.00,47.18,45.04,42.89,1
RPGLIFE.NS,9/27/2024,2290.30,6.00,0.00,13.00,6.00,2328.14,2278.62,2229.10,1
RTFL.BO,9/27/2024,68.85,5.00,0.00,18.00,5.00,70.74,68.94,67.14,1
RTNPOWER.NS,9/27/2024,14.66,5.00,0.00,26.00,5.00,0.00,0.00,0.00,1
RUNGTAIR.BO,9/27/2024,82.15,3.00,0.00,,3.00,,,,1
RVHL.NS,9/27/2024,65.52,11.00,0.00,18.00,11.00,70.95,69.61,68.27,1
SAFFRON.BO,9/26/2024,12.21,51.00,0.00,57.00,51.00,15.51,13.58,11.65,1
SAHLIBHFI.BO,9/27/2024,830.00,5.00,0.00,22.00,5.00,877.91,863.41,848.91,1
SAICAPI.BO,9/13/2024,155.30,306.00,0.00,406.00,306.00,33.92,17.99,2.06,1
SAINIK.BO,9/27/2024,44.00,4.00,0.00,17.00,4.00,45.63,45.07,44.52,1
SAGCEM.NS,9/27/2024,233.69,33.00,0.00,41.00,33.00,0.00,0.00,0.00,1
SAIL.NS,9/27/2024,140.54,5.00,0.00,23.00,5.00,142.88,141.13,139.37,1
SALSTEEL.NS,9/27/2024,29.57,6.00,0.00,9.00,6.00,30.85,29.89,28.93,1
SAKHTISUG.NS,9/27/2024,39.31,14.00,0.00,20.00,14.00,40.01,39.02,38.04,1
SAMINDUS.BO,9/27/2024,76.92,11.00,0.00,18.00,11.00,76.71,75.23,73.75,1
SAMBHAAV.NS,9/27/2024,6.30,12.00,0.00,23.00,12.00,6.51,6.29,6.07,1
SANCO.NS,9/27/2024,4.82,3.00,0.00,24.00,3.00,4.98,4.86,4.74,1
SANGAMIND.NS,9/27/2024,481.00,5.00,0.00,12.00,5.00,513.40,497.60,481.81,1
SANGINITA.NS,9/27/2024,15.91,10.00,0.00,61.00,10.00,19.86,19.79,19.72,1
SANINFRA.BO,9/27/2024,14.25,5.00,0.00,26.00,5.00,16.07,16.03,15.99,1
SARDAEN.NS,9/27/2024,439.20,37.00,0.00,42.00,37.00,470.50,439.10,407.69,1
SAREGAMA.NS,9/27/2024,566.10,17.00,0.00,27.00,17.00,602.49,562.55,522.62,1
SATIA.NS,9/27/2024,120.24,6.00,0.00,24.00,6.00,122.36,120.12,117.88,1
SAUMYA.BO,9/27/2024,230.75,44.00,0.00,76.00,44.00,253.90,243.17,232.45,1
SAWABUSI.BO,9/27/2024,0.63,6.00,0.00,21.00,6.00,0.63,0.63,0.63,1
SBFL.BO,9/27/2024,24.43,28.00,0.00,33.00,28.00,24.97,24.17,23.38,1
