Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
SIMPLEXINF.NS,2024-09-27,242,128.02,226.93,246.9,254.7,Long,Open
SIMPLXMIL.BO,2024-08-13,7241,2891.0,3939.64,4173.35,4254.0,Long,Open
SIMPLXPAP.BO,2024-09-25,2929,1586.9,2508.65,3061.5,3115.0,Short,Close
SIMPLXREA.BO,2024-09-23,218,150.0,210.27,227.0,231.0,Short,Close
SIMRAN.BO,2024-09-06,211,111.0,209.84,247.04,251.05,Short,Close
SINCLAIR.BO,2024-08-22,99,,100.88,112.45,113.95,Short,Close
SINDHUTRAD.BO,2024-09-30,24,17.1,21.93,24.73,25.1,Short,Close
SINGER.BO,2024-09-10,86,76.2,94.63,108.67,102.5,Long,Open
SINTERCOM.NS,2024-08-30,164,120.6,129.98,139.5,135.9,Long,Open
SIPL.BO,2024-10-01,13,10.51,13.31,14.35,14.95,Long,Open
SIRCA.NS,2024-09-10,344,298.0,329.74,330.71,346.4,Long,Open
SIS.NS,2024-08-02,414,400.0,438.56,451.72,456.3,Short,Close
SITAENT.BO,2024-09-24,75,32.05,64.54,70.8,71.5,Long,Open
SITINET.NS,2024-09-24,1,0.5,0.85,1.13,1.14,Short,Close
SIYSIL.NS,2024-09-16,480,409.6,480.55,506.34,511.0,Short,Close
SJVN.NS,2024-09-27,131,124.76,129.06,127.41,134.89,Long,Open
SKCIL.BO,2024-08-26,209,218.45,226.0,269.0,275.0,Short,Close
SKFINDIA.NS,2024-08-21,5441,4024.5,5197.0,6790.2,5370.25,Long,Open
SKIL.NS,2024-08-09,5,3.7,5.42,7.4,7.6,Short,Close
SKIPPER.NS,2024-09-13,464,262.1,410.22,458.69,428.0,Long,Open
SKMEGGPROD.NS,2024-08-26,252,215.0,236.55,283.21,292.2,Short,Close
SKPMIL.BO,2024-09-27,43,39.64,44.1,45.19,47.44,Long,Open
SKPSEC.BO,2024-09-23,182,129.0,155.02,162.52,165.0,Long,Open
SKRABUL.BO,2024-09-25,21,20.25,21.81,22.59,22.84,Short,Close
SKYGOLD.BO,2024-09-23,2674,902.1,2529.18,2909.75,2830.0,Long,Open
SKYIND.BO,2024-09-13,163,86.0,136.84,147.11,149.0,Long,Open
SKYLMILAR.BO,2024-09-06,21,12.45,22.51,23.22,23.63,Short,Close
SLSTLQ.BO,2024-09-26,37,38.71,36.95,45.86,47.6,Long,Open
SMARTLINK.NS,2024-09-25,285,222.1,262.21,338.85,338.85,Short,Close
SMCGLOBAL.NS,2024-09-20,155,139.91,141.87,164.52,167.0,Short,Close
SMFIL.BO,2024-09-27,8,6.23,6.39,8.11,8.25,Short,Close
SMIFS.BO,2024-09-25,93,45.79,54.42,99.56,99.84,Short,Close
SML.BO,2024-09-26,31,24.76,31.45,32.79,34.24,Short,Close
SMLISUZU.NS,2024-10-01,1936,1810.0,1852.88,1835.65,1959.0,Long,Open
SMLT.BO,2024-09-30,191,164.0,183.72,181.26,201.15,Long,Open
SMRUTHIORG.BO,2024-09-05,144,142.1,141.99,151.93,153.7,Short,Close
SMSLIFE.NS,2024-09-09,1449,626.45,1382.55,1737.16,1749.65,Short,Close
SMSPHARMA.NS,2024-10-01,374,175.25,358.91,390.63,376.65,Long,Open
SNL.BO,2024-09-23,440,350.2,430.71,488.96,497.95,Short,Close
SNOWMAN.NS,2024-09-24,82,71.11,74.73,90.09,91.65,Short,Close
SOBHA.NS,2024-09-23,1865,1597.0,1765.42,2052.5,2070.0,Short,Close
SODFC.BO,2024-09-03,107,92.0,107.04,119.29,123.3,Short,Close
SOFTSOL.BO,2024-09-26,466,215.0,411.08,432.65,450.0,Long,Open
SOFTTECH.NS,2024-09-27,373,314.0,348.09,374.69,381.9,Long,Open
SOLARA.NS,2024-09-23,790,366.7,757.95,771.82,783.3,Long,Open
SOLARINDS.NS,2024-08-16,11538,6275.0,10240.0,10257.96,10510.0,Long,Open
SOLIDSTON.BO,2024-09-27,35,31.15,33.94,38.49,39.59,Short,Close
SOLIMAC.BO,2024-09-27,105,89.0,92.76,100.5,106.39,Long,Open
SOMANYCERA.NS,2024-09-30,736,676.95,702.51,746.96,736.15,Long,Open
SOMATEX.NS,2024-10-01,39,32.21,33.51,42.33,43.57,Short,Close
SOMICONVEY.NS,2024-09-26,151,166.0,160.25,168.6,186.67,Short,Close
SONACOMS.BO,2024-08-16,731,571.15,665.63,732.25,691.5,Long,Open
SONAL.BO,2024-09-30,129,95.0,116.83,193.81,198.3,Long,Open
SONALAD.BO,2024-09-30,74,69.8,71.07,77.56,74.8,Long,Open
SONATSOFTW.NS,2024-09-06,635,469.6,611.86,691.9,697.2,Short,Close
SOTL.NS,2024-08-27,567,340.0,577.5,625.71,633.9,Short,Close
SOURCENTRL.BO,2024-09-20,227,78.0,181.61,237.15,237.15,Long,Open
SOUTHBANK.NS,2024-06-20,25,13.75,27.75,28.6,28.82,Short,Close
SOUTHERNIN.BO,2024-09-18,22,15.55,23.99,26.8,26.8,Short,Close
SOUTHMG.BO,2024-08-26,330,199.1,358.38,457.8,468.95,Short,Close
SOUTHWEST.NS,2024-09-05,126,101.0,141.66,151.75,154.0,Short,Close
SOUTLAT.BO,2024-09-26,32,23.28,25.21,33.88,34.38,Short,Close
SOVERDIA.BO,2024-09-26,49,26.25,50.55,56.56,57.42,Short,Close
SPAL.NS,2024-09-23,956,521.05,940.31,1038.16,1120.0,Long,Open
SPANDANA.NS,2024-08-30,586,786.35,607.46,630.08,636.0,Short,Close
SPARC.NS,2024-08-27,216,325.1,217.75,235.18,239.85,Short,Close
SPCAPIT.BO,2024-09-25,53,22.88,55.29,57.96,60.0,Short,Close
SPECFOOD.BO,2024-09-18,24,26.23,26.78,29.07,30.3,Long,Open
SPECIALITY.NS,2024-09-10,168,152.8,168.11,178.45,179.6,Short,Close
SPECTRA.BO,2024-09-27,5,4.28,4.43,4.87,5.27,Short,Close
SPELS.BO,2024-09-17,204,116.25,191.77,239.5,239.5,Short,Close
SPENCERS.NS,2024-09-19,108,75.0,97.89,103.7,108.8,Long,Open
SPENTA.BO,2024-09-27,117,107.0,116.84,135.14,139.5,Short,Close
SPIC.NS,2024-09-20,86,75.75,82.41,95.13,96.63,Long,Open
SPICEJET.BO,2024-09-30,68,56.35,58.48,61.19,79.9,Long,Open
SPLIL.NS,2024-09-10,60,54.0,59.94,62.6,61.99,Long,Open
SPLPETRO.NS,2024-08-12,872,521.25,821.96,904.25,842.45,Long,Open
SPMLINFRA.NS,2024-09-24,274,167.36,253.01,294.2,297.6,Short,Close
SPORTKING.BO,2024-09-26,116,72.0,110.44,119.35,119.35,Short,Close
SPSINT.BO,2024-08-12,37,5.37,35.51,35.6,35.51,Long,Open
SPSL.BO,2024-09-25,20,13.07,20.91,23.14,24.3,Short,Close
SPTL.NS,2024-06-07,1,1.75,0.86,1.25,1.25,Short,Close
SPYL.NS,2024-08-26,54,2.15,37.47,90.45,90.6,Short,Close
SRAMSET.BO,2024-08-28,452,226.0,574.61,602.5,636.0,Long,Open
SRECR.BO,2024-09-23,65,64.65,62.83,69.9,65.3,Long,Open
SREEL.NS,2024-07-31,285,190.05,299.35,325.33,331.25,Short,Close
SRESTHA.BO,2024-09-30,1,0.75,0.74,0.89,0.92,Short,Close
SRF.NS,2024-09-05,2481,2182.45,2499.99,2637.5,2649.0,Short,Close
SRGHFL.BO,2024-09-09,345,260.0,358.69,349.88,399.45,Short,Close
SRHHYPOLTD.NS,2024-09-26,711,540.25,564.25,738.72,760.0,Short,Close
SRIKPRIND.BO,2024-10-01,36,32.0,34.85,34.08,37.4,Long,Open
SRIND.BO,2024-09-23,1,0.95,1.25,1.32,1.26,Long,Open
SRMCL.BO,2024-09-12,90,50.53,67.68,82.12,82.49,Long,Open
SRMENERGY.BO,2024-09-25,19,14.05,16.81,17.77,18.12,Long,Open
SRPL.NS,2024-09-25,1,0.99,1.1,1.23,1.27,Short,Close
SRTRANSFIN.NS,2023-02-09,1234,1146.0,1248.9,1312.72,1317.45,Short,Close
SSLEL.BO,2024-09-17,370,305.4,384.25,407.74,415.95,Short,Close
SSPDL.BO,2024-09-26,24,18.05,20.08,26.45,27.43,Short,Close
SSWL.NS,2024-09-30,216,207.2,212.06,215.98,225.0,Long,Open
SSWRL.BO,2024-09-11,41,36.1,37.63,38.13,39.54,Long,Open
STANCAP.BO,2024-09-30,2,1.37,,1.66,1.67,Short,Close
STANROS.BO,2024-10-01,88,77.3,88.5,87.77,92.7,Short,Close
STAR.NS,2024-09-23,1401,900.55,1299.96,1412.1,1431.0,Long,Open
STARCEMENT.NS,2024-10-01,214,199.82,205.07,219.25,217.24,Long,Open
STARCOM.BO,2024-09-05,117,49.52,50.22,140.25,146.8,Short,Close
STARDELTA.BO,2024-08-26,771,528.95,773.24,823.93,829.9,Short,Close
STARLIT.BO,2024-07-12,3,3.81,3.94,6.63,6.79,Short,Close
STARLITE.BO,2024-09-03,4,2.08,3.11,3.24,3.28,Long,Open
STARLOG.BO,2024-09-18,54,32.53,46.22,60.56,63.21,Short,Close
