Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,ADVAIT.BO,,2024-10-25,,1668.16,,Long,Open,,2000-01-01,,,,India
2024-10-31,ADVANIHOTR.NS,BB_DC,2024-10-25,61.28,,65.65,Short,Closed,67.5,2024-11-01,,Target Hit,65.65,India
2000-01-01,ADVENZYMES.NS,,2024-10-25,,422.34,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADVIKCA.BO,,2024-10-25,,2.31,,Long,Open,,2000-01-01,,,,India
2000-01-01,AEGISCHEM.NS,,2024-07-24,,846.25,,Long,Open,,2000-01-01,,,,India
2000-01-01,AEGISLOG.BO,,2024-10-15,,686.2,,Long,Open,,2000-01-01,,,,India
2000-01-01,AEL.BO,,2024-10-29,,190.24,,Long,Open,,2000-01-01,,,,India
2000-01-01,AFEL.BO,,2024-10-11,,18.13,,Long,Open,,2000-01-01,,,,India
2000-01-01,AFFLE.NS,,2024-10-29,,1450.91,,Long,Open,,2000-01-01,,,,India
2000-01-01,AGARIND.NS,,2024-10-30,,1047.73,,Long,Open,,2000-01-01,,,,India
2024-10-31,AGIIL.BO,BB_BW,2024-10-23,885.0,906.58,,Long,Open,1231.15,2024-11-01,46.3392029657089,,,India
2000-01-01,AGIOPAPER.BO,,2024-09-27,,,8.5,Short,Close,,2000-01-01,,,,India
2000-01-01,AGRITECH.NS,,2024-10-09,,,236.0,Short,Close,,2000-01-01,,,,India
2000-01-01,AGROPHOS.NS,,2024-10-29,,42.63,,Long,Open,,2000-01-01,,,,India
2024-10-31,AHLADA.NS,BB_DC,2024-10-29,92.11,97.01,,Long,Open,101.71,2024-11-01,204.08163265306098,,,India
2000-01-01,AHLEAST.NS,,2024-10-28,,160.11,,Long,Open,,2000-01-01,,,,India
2000-01-01,AHLUCONT.NS,,2024-10-18,,,1168.51,Short,Close,,2000-01-01,,,,India
2000-01-01,AHMDSTE.BO,,2024-10-24,,,383.2,Short,Close,,2000-01-01,,,,India
2000-01-01,AIAENG.NS,,2024-08-12,,,4897.94,Short,Close,,2000-01-01,,,,India
2000-01-01,AICHAMP.BO,,2024-10-28,,,61.66,Short,Close,,2000-01-01,,,,India
