Ticker,Last Alert Date,Buy Price,Target,Call,Status
ANKIN.BO,2025-01-10,18.82,,Long,Open
ANKITMETAL.NS,2024-12-27,,4.87,Short,Close
ANMOL.BO,2025-01-02,,26.53,Short,Close
ANNAINFRA.BO,2025-01-08,31.12,,Long,Open
ANSALAPI.NS,2024-12-13,,11.96,Short,Close
ANSALBU.BO,2024-12-02,,174.81,Short,Close
ANSALHSG.BO,2024-12-26,,17.92,Short,Close
ANSINDUS.BO,2025-01-09,9.15,,Long,Open
ANUHPHR.BO,2025-01-01,,230.2,Short,Close
ANUP.NS,2025-01-02,,3536.95,Short,Close
ANUPAM.BO,2025-01-14,1.88,,Long,Open
ANURAS.NS,2024-12-12,,763.49,Short,Close
APARINDS.NS,2025-01-08,,11513.81,Short,Close
APCL.NS,2025-01-03,,171.35,Short,Close
APCOTEXIND.NS,2024-12-18,,406.83,Short,Close
APEX.NS,2024-12-31,248.07,,Long,Open
APIL.BO,2025-01-13,,27.49,Short,Close
APLAB.BO,2024-12-12,,92.96,Short,Close
APLAPOLLO.NS,2025-01-03,,1616.21,Short,Close
APLLTD.NS,2025-01-08,,1088.07,Short,Close
APMIN.BO,2024-12-11,,57.22,Short,Close
APOLLO.NS,2025-01-14,123.98,,Long,Open
APOLLOFI.BO,2025-01-03,,797.5,Short,Close
APOLLOHOSP.NS,2025-01-07,,7495.31,Short,Close
APOLLOPIPE.NS,2024-12-03,,506.04,Short,Close
APOLLOTYRE.NS,2024-12-09,,552.05,Short,Close
APOLSINHOT.NS,2025-01-03,,1805.86,Short,Close
APTECHT.NS,2024-12-24,,194.87,Short,Close
ARAVALIS.BO,2025-01-07,,6.92,Short,Close
ARCEEIN.BO,2025-01-14,5.73,,Long,Open
ARCFIN.BO,2025-01-03,,1.52,Short,Close
ARCHIDPLY.NS,2024-12-24,,126.21,Short,Close
ARCHIES.NS,2024-11-18,,25.31,Short,Close
ARCHITORG.BO,2025-01-02,,48.31,Short,Close
ARENTERP.NS,2025-01-03,,57.4,Short,Close
AREXMIS.BO,2025-01-06,,164.84,Short,Close
ARFIN.BO,2024-12-03,,39.69,Short,Close
ARIES.NS,2025-01-03,,302.26,Short,Close
ARIHANT.BO,2025-01-02,,876.82,Short,Close
ARIHANTSUP.NS,2025-01-08,,545.72,Short,Close
ARISE.BO,2024-12-17,,34.9,Short,Close
ARMANFIN.NS,2025-01-08,,1302.94,Short,Close
ARNOLD.BO,2025-01-02,,45.56,Short,Close
AROGRANITE.NS,2025-01-14,42.44,,Long,Open
ARROWGREEN.NS,2025-01-08,,807.75,Short,Close
ARSHIYA.NS,2025-01-08,,3.33,Short,Close
ARSSINFRA.NS,2024-12-18,18.23,,Long,Open
ARTEFACT.BO,2025-01-07,79.53,,Long,Open
ARTEMISMED.NS,2025-01-07,,339.69,Short,Close
ARTNIRMAN.NS,2024-12-09,,84.68,Short,Close
ARTSONEN.BO,2025-01-13,166.41,,Long,Open
ARUNAHTEL.BO,2025-01-14,10.01,,Long,Open
ARUNIS.BO,2024-10-23,26.96,,Long,Open
ARVEE.NS,2024-12-26,,185.35,Short,Close
ARVIND.NS,2025-01-07,405.33,,Long,Open
ARVINDFASN.NS,2025-01-08,,526.65,Short,Close
