Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2025-01-14,EW_DT,Long,SYNCOMF.BO,18,16.97,970.87,970.87,NaN,,NaN,NaN,KRBPT,18.22,2025-01-14,NaN
2025-01-14,ATR_UC,Long,SYNTHFO.BO,107.9,84.85,43.38,43.38,NaN,,NaN,NaN,KRBPT,107.9,2025-01-14,NaN
2024-12-09,EW_UC,Long,TAAZAINT.BO,4,3.98,50000,50000,NaN,,NaN,NaN,KRBPT,4.57,2024-12-09,NaN
2025-01-14,EW_UC,Long,TANFACIND.BO,2918,1890,0.97,0.97,NaN,,NaN,NaN,KRBPT,2917.65,2025-01-14,NaN
2025-01-14,EW_DC,Long,TANLA.NS,673,631.9,24.33,24.33,NaN,,NaN,NaN,KRBPT,672.8,2025-01-14,NaN
2025-01-03,BB_DC,Long,TATACONSUM.NS,939.45,882.9,17.68,17.68,NaN,,NaN,NaN,KRBPT,963.15,2025-01-03,NaN
2025-01-10,LR_BW,Long,TCPLPACK.NS,3258.25,3000.3,3.88,3.88,NaN,,NaN,NaN,KRBPT,3151.55,2025-01-10,NaN
2025-01-10,EW_UC,Long,TCS.NS,4266,4011.55,3.93,3.93,NaN,,NaN,NaN,KRBPT,4233.05,2025-01-10,NaN
2025-01-10,EW_W,Long,TERASOFT.NS,176,159.55,60.79,60.79,NaN,,NaN,NaN,KRBPT,194.4,2025-01-10,NaN
2025-01-07,BB_W,Long,TI.NS,442.8,265.3,5.63,5.63,NaN,,NaN,NaN,KRBPT,400.1,2025-01-07,NaN
2025-01-14,EW_DC,Long,TIGERLOGS.BO,65,57.5,133.33,133.33,NaN,,NaN,NaN,KRBPT,65.26,2025-01-14,NaN
2025-01-14,EWBB_W,Long,TIMESGTY.NS,164,149.2,67.57,67.57,NaN,,NaN,NaN,KRBPT,164.3,2025-01-14,NaN
2025-01-14,ATREW_W,Long,TIMETECHNO.NS,424,393.8,33.11,33.11,NaN,,NaN,NaN,KRBPT,423.9,2025-01-14,NaN
2025-01-14,EW_W,Long,TIMEX.BO,186,170.25,63.49,63.49,NaN,,NaN,NaN,KRBPT,185.8,2025-01-14,NaN
2025-01-14,EW_BW,Long,TIRUSTA.BO,179,140.2,25.77,25.77,NaN,,NaN,NaN,KRBPT,179,2025-01-14,NaN
2024-12-17,ATREW_W,Long,TNSTLTU.BO,20,18.63,729.93,729.93,NaN,,NaN,NaN,KRBPT,21.55,2024-12-17,NaN
2025-01-14,EW_DC,Long,TORNTPOWER.NS,1378,1301,12.99,12.99,NaN,,NaN,NaN,KRBPT,1378.1,2025-01-14,NaN
2025-01-14,ATREW_W,Long,TPLPLASTEH.NS,96,88,125,125,NaN,,NaN,NaN,KRBPT,95.92,2025-01-14,NaN
2025-01-09,EW_DC,Long,TPROJECT.BO,4,3.45,1818.18,1818.18,NaN,,NaN,NaN,KRBPT,3.68,2025-01-09,NaN
2025-01-03,EW_BW,Long,TPROJECT.BO,4,3.65,2857.14,2857.14,NaN,,NaN,NaN,KRBPT,3.68,2025-01-03,NaN
2025-01-07,BB_DC,Long,TRANSFD.BO,212.4,189.3,43.29,43.29,NaN,,NaN,NaN,KRBPT,248.1,2025-01-07,NaN
