Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
AVANTEL.BO,6/12/2024,169,16.33,126.76,133.29,136.55
AVANTEL.BO,6/13/2024,169,16.33,139.50,142.50,144.00
AVANTEL.BO,6/14/2024,169,16.33,149.25,161.75,168.00
AVANTEL.BO,6/18/2024,169,25.95,,180.70,185.00
AVANTEL.BO,7/1/2024,169,25.41,177.66,,185.50
AVANTEL.BO,7/9/2024,169,24.20,,219.40,223.80
AVANTEL.BO,7/23/2024,169,24.20,188.11,,223.80
AVANTEL.BO,7/30/2024,169,24.20,,209.61,212.50
AVANTEL.BO,8/7/2024,169,24.20,187.15,,212.50
AVANTEL.BO,8/12/2024,169,24.20,,192.13,196.00
AVANTEL.BO,8/16/2024,169,67.38,178.75,,196.00
AVANTEL.BO,8/22/2024,169,67.38,,192.59,194.70
AVANTEL.BO,9/11/2024,169,106.30,171.56,,194.70
AVANTEL.BO,10/7/2024,169,86.05,,196.29,201.00
AVANTEL.BO,10/31/2024,169,166.00,169.96,,182.00
AVANTEL.BO,11/4/2024,169,166.00,,172.75,175.10
AVANTEL.BO,11/5/2024,169,166.00,168.66,,175.10
AVAILFC.BO,2/20/2024,362,12.18,,262.71,263.95
AVAILFC.BO,3/21/2024,362,60.50,205.04,,263.95
AVAILFC.BO,4/2/2024,362,72.85,,224.50,228.00
AVAILFC.BO,4/23/2024,362,73.45,211.69,,220.70
AVAILFC.BO,5/7/2024,362,73.45,,333.58,341.40
AVAILFC.BO,5/13/2024,362,139.75,287.48,,341.40
AVAILFC.BO,5/14/2024,362,129.40,,313.63,341.40
AVAILFC.BO,6/10/2024,362,216.20,282.48,,298.60
AVAILFC.BO,6/11/2024,362,216.20,,289.25,298.60
AVAILFC.BO,6/24/2024,362,149.00,276.05,,293.90
AVAILFC.BO,6/25/2024,362,149.00,281.70,293.10,298.80
AVAILFC.BO,6/26/2024,362,149.00,282.42,290.78,298.80
AVAILFC.BO,6/27/2024,362,149.00,269.97,275.83,298.80
AVAILFC.BO,6/28/2024,362,132.10,273.33,283.77,298.80
AVAILFC.BO,7/1/2024,362,112.95,273.36,281.09,298.80
AVAILFC.BO,7/2/2024,362,112.95,272.24,276.71,298.80
AVAILFC.BO,7/3/2024,362,112.95,274.69,285.56,291.00
AVAILFC.BO,7/4/2024,362,112.40,270.39,276.66,291.00
AVAILFC.BO,7/5/2024,362,112.40,269.73,273.18,291.00
AVAILFC.BO,7/8/2024,362,112.40,257.70,265.30,291.00
AVAILFC.BO,7/9/2024,362,112.40,260.50,271.50,291.00
AVAILFC.BO,7/10/2024,362,112.40,258.05,267.35,291.00
AVAILFC.BO,7/11/2024,362,112.40,259.21,265.54,291.00
AVAILFC.BO,7/12/2024,362,112.40,260.83,272.27,278.00
AVAILFC.BO,7/15/2024,362,112.40,255.85,261.95,278.00
AVAILFC.BO,7/16/2024,362,112.40,247.76,253.29,278.00
AVAILFC.BO,7/18/2024,362,112.40,254.00,264.00,278.00
AVAILFC.BO,7/19/2024,362,112.40,249.41,262.44,278.00
AVAILFC.BO,7/22/2024,362,112.40,238.00,244.00,278.00
AVAILFC.BO,7/23/2024,362,112.40,,242.26,278.00
AVAILFC.BO,8/16/2024,362,125.00,221.50,,253.00
AVAILFC.BO,8/19/2024,362,125.00,,271.89,278.00
AVAILFC.BO,9/12/2024,362,99.55,270.90,,306.60
AVAILFC.BO,9/20/2024,362,204.10,,452.46,459.95
AVAILFC.BO,10/9/2024,362,258.30,351.09,,471.00
AVAILFC.BO,10/14/2024,362,258.30,,366.81,372.25
AVAILFC.BO,10/29/2024,362,209.10,314.44,,374.60
AVL.BO,3/5/2024,425,623.10,,3629.51,3649.00
AVL.BO,3/21/2024,425,741.30,3287.35,,3473.95
AVL.BO,3/22/2024,425,741.30,,3508.05,3543.25
AVL.BO,4/5/2024,425,598.55,3279.54,,3549.00
AVL.BO,5/22/2024,425,660.10,,3581.63,3647.00
AVL.BO,5/31/2024,425,660.10,3101.25,,3650.00
AVL.BO,7/26/2024,425,1255.00,,4922.75,4950.00
AVL.BO,8/12/2024,425,1255.00,4061.50,,5049.95
AVL.BO,8/16/2024,425,2155.00,,4710.00,4760.00
AVL.BO,8/22/2024,425,2155.00,477.95,,4760.00
AVL.BO,8/27/2024,425,2271.00,,503.18,504.90
AVL.BO,9/4/2024,425,2271.00,480.75,,525.00
AVL.BO,9/5/2024,425,2271.00,,547.50,560.00
AVL.BO,9/20/2024,425,3112.00,500.29,,574.95
AVL.BO,9/24/2024,425,3080.00,,529.45,538.50
AVL.BO,10/31/2024,425,463.05,424.96,,505.00
AVL.BO,11/1/2024,425,463.05,,466.26,469.00
AUTOIND.NS,3/14/2024,117,46.50,114.88,,159.00
AUTOIND.NS,3/15/2024,117,46.50,121.09,124.56,159.00
AUTOIND.NS,3/18/2024,117,46.50,122.12,123.97,159.00
AUTOIND.NS,3/19/2024,117,53.55,119.46,122.39,159.00
AUTOIND.NS,3/20/2024,117,53.55,,119.56,159.00
AUTOIND.NS,3/21/2024,117,53.55,120.86,,127.35
AUTOIND.NS,3/22/2024,117,53.55,,124.38,127.35
AUTOIND.NS,4/1/2024,117,54.20,116.93,,127.35
AUTOIND.NS,4/4/2024,117,52.25,,138.49,142.70
AUTOIND.NS,4/16/2024,117,53.00,120.94,,142.70
AUTOIND.NS,4/23/2024,117,48.00,,129.59,131.25
AUTOIND.NS,5/14/2024,117,50.30,118.24,,129.70
AUTOIND.NS,5/27/2024,117,65.10,,128.14,129.40
AUTOIND.NS,6/5/2024,117,65.10,106.90,,129.40
AUTOIND.NS,6/11/2024,117,65.10,,126.85,128.10
AUTOIND.NS,6/27/2024,117,67.25,119.86,,133.59
AUTOIND.NS,7/9/2024,117,62.10,,141.05,142.90
AUTOIND.NS,7/16/2024,117,62.10,125.83,,142.90
AUTOIND.NS,7/18/2024,117,62.10,,135.18,137.70
AUTOIND.NS,7/29/2024,117,61.35,124.70,,137.70
AUTOIND.NS,8/1/2024,117,61.35,,149.32,151.06
AUTOIND.NS,8/6/2024,117,61.35,134.64,,151.06
AUTOIND.NS,8/9/2024,117,61.35,,145.80,148.40
AUTOIND.NS,8/20/2024,117,61.35,135.33,,148.40
AUTOIND.NS,8/27/2024,117,61.35,,150.45,154.93
AUTOIND.NS,9/10/2024,117,122.20,139.11,,157.00
AUTOIND.NS,9/16/2024,117,117.30,,148.02,150.00
AUTOIND.NS,10/25/2024,117,99.75,102.74,,150.00
AUSOMENT.NS,2/16/2024,104,43.70,91.28,,102.80
AUSOMENT.NS,2/22/2024,104,43.70,,100.65,104.80
AUSOMENT.NS,3/14/2024,104,63.40,74.85,,104.80
AUSOMENT.NS,3/22/2024,104,57.20,,104.90,108.00
AUSOMENT.NS,3/26/2024,104,57.00,92.35,,108.00
AUSOMENT.NS,3/27/2024,104,56.65,93.93,98.97,108.00
AUSOMENT.NS,3/28/2024,104,56.65,92.16,95.39,108.00
AUSOMENT.NS,4/1/2024,104,56.65,93.05,95.15,108.00
AUSOMENT.NS,4/2/2024,104,56.65,94.09,97.96,108.00
AUSOMENT.NS,4/3/2024,104,56.65,,99.91,108.00
AUSOMENT.NS,4/23/2024,104,59.15,90.59,,102.70
AUSOMENT.NS,4/24/2024,104,59.15,94.57,98.82,102.70
AUSOMENT.NS,4/25/2024,104,59.15,93.20,95.10,102.70
AUSOMENT.NS,4/26/2024,104,59.15,92.86,94.59,102.70
AUSOMENT.NS,4/29/2024,104,59.15,93.26,95.09,102.70
AUSOMENT.NS,4/30/2024,104,59.15,91.51,94.04,102.70
AUSOMENT.NS,5/2/2024,104,59.15,93.43,96.27,97.70
AUSOMENT.NS,5/3/2024,104,67.00,91.23,93.07,97.70
AUSOMENT.NS,5/6/2024,104,67.00,,92.74,97.70
AUSOMENT.NS,5/7/2024,104,65.00,91.75,,100.00
AUSOMENT.NS,5/8/2024,104,65.00,,98.04,100.00
AUSOMENT.NS,5/13/2024,104,55.10,91.44,,100.00
AUSOMENT.NS,5/23/2024,104,55.10,,130.06,133.90
AUSOMENT.NS,6/5/2024,104,70.00,86.75,,133.90
AUSOMENT.NS,6/18/2024,104,65.75,,99.24,100.00
AUSOMENT.NS,7/25/2024,104,59.00,88.20,,94.50
AUSOMENT.NS,7/29/2024,104,59.00,,96.40,99.20
AUSOMENT.NS,8/7/2024,104,59.25,91.10,,99.20
AUSOMENT.NS,8/19/2024,104,59.25,,104.97,106.50
AUSOMENT.NS,9/11/2024,104,65.15,93.13,,106.50
AUSOMENT.NS,10/8/2024,104,72.20,,133.90,141.82
AUSOMENT.NS,10/9/2024,104,85.00,132.13,,141.82
AUSOMENT.NS,10/10/2024,104,85.00,142.19,154.58,160.77
AUSOMENT.NS,10/11/2024,104,85.00,,181.32,186.35
AUSOMENT.NS,10/14/2024,104,85.00,157.60,,186.35
AUSOMENT.NS,10/15/2024,104,85.00,158.65,166.38,186.35
AUSOMENT.NS,10/16/2024,104,90.00,,169.92,186.35
AUSOMENT.NS,10/24/2024,104,86.10,141.43,,186.35
AUSOMENT.NS,10/25/2024,104,86.10,,156.15,186.35
AVANTIFEED.NS,2/23/2024,578,525.50,500.84,,517.00
AVANTIFEED.NS,3/7/2024,578,524.00,,553.40,559.00
AVANTIFEED.NS,3/14/2024,578,535.00,480.16,,575.95
AVANTIFEED.NS,3/18/2024,578,535.00,,507.85,575.95
AVANTIFEED.NS,4/1/2024,578,491.35,492.11,,575.95
AVANTIFEED.NS,4/4/2024,578,491.35,,535.00,542.00
AVANTIFEED.NS,4/22/2024,578,420.00,508.71,,520.00
AVANTIFEED.NS,5/2/2024,578,415.85,,571.90,585.00
AVANTIFEED.NS,5/14/2024,578,395.35,516.39,,585.00
AVANTIFEED.NS,5/17/2024,578,395.35,,545.17,550.45
AVANTIFEED.NS,6/5/2024,578,450.00,500.63,,541.75
AVANTIFEED.NS,6/10/2024,578,431.10,,639.25,647.15
AVANTIFEED.NS,6/18/2024,578,364.10,604.13,,652.35
AVANTIFEED.NS,6/19/2024,578,364.10,636.00,660.00,672.00
AVANTIFEED.NS,6/20/2024,578,364.10,635.70,647.10,672.00
AVANTIFEED.NS,6/21/2024,578,364.10,619.46,631.69,672.00
AVANTIFEED.NS,6/24/2024,578,364.10,614.72,626.58,672.00
AVANTIFEED.NS,6/25/2024,578,364.10,614.81,627.94,672.00
AVANTIFEED.NS,6/26/2024,578,364.10,601.40,613.00,672.00
AVANTIFEED.NS,6/27/2024,578,373.90,,602.54,672.00
AVANTIFEED.NS,6/28/2024,578,373.90,593.85,,672.00
AVANTIFEED.NS,7/26/2024,578,321.10,,714.81,764.40
AVANTIFEED.NS,10/28/2024,578,486.45,549.03,,645.00
AVIVA.BO,8/26/2024,27,28.63,23.97,,23.97
AUTOAXLES.NS,2/26/2024,1790,941.00,1920.41,,2016.00
AUTOAXLES.NS,2/27/2024,1790,941.00,1964.59,2015.76,2041.35
AUTOAXLES.NS,2/28/2024,1790,941.00,1919.86,1955.59,2041.35
AUTOAXLES.NS,2/29/2024,1790,941.00,1906.75,1938.25,2041.35
AUTOAXLES.NS,3/1/2024,1790,1197.35,1915.60,1941.50,2041.35
AUTOAXLES.NS,3/4/2024,1790,1197.35,1991.66,2023.89,2041.35
AUTOAXLES.NS,3/5/2024,1790,1197.35,1958.46,1983.39,2041.35
AUTOAXLES.NS,3/6/2024,1790,1197.35,1905.88,1950.13,2041.35
AUTOAXLES.NS,3/7/2024,1790,1197.35,1917.82,1939.28,2041.35
AUTOAXLES.NS,3/11/2024,1790,1201.10,1904.74,1940.21,2041.35
AUTOAXLES.NS,3/12/2024,1790,1170.20,1843.97,1881.92,2041.35
AUTOAXLES.NS,3/13/2024,1790,1170.20,,1842.51,2041.35
AUTOAXLES.NS,4/1/2024,1790,1229.20,1778.75,,1941.00
AUTOAXLES.NS,4/4/2024,1790,1229.20,,1877.00,1896.00
AUTOAXLES.NS,4/18/2024,1790,1393.60,1818.75,,1869.00
