Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Close,FromHigh,FromLow,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,hh,ll,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,TEXRAIL.NS,0.0,,,,EW,,202.0,0.0,2.0,,3337.0,_UC,42.78,1910.0,0.0,-1.43,191.19,206.02,191.19,EW_UC,202.80999755859375,93.0,0.004009888903929455
2024-11-25,TIIL.NS,0.0,,,BB,,,2507.2,2.0,2.0,,3337.0,_DC,33.42,2222.0,0.0,-4.67,,3146.0,2475.0,BB_DC,2497.449951171875,31.0,-0.0038888197304262997
2024-11-25,TIMKEN.NS,0.0,,,BB,,,3336.7,0.0,4.0,,3337.0,_DC,28.39,2390.0,0.0,-6.39,,3352.0,3171.5,BB_DC,3351.60009765625,6.0,0.004465519122561268
2024-11-25,TITAGARH.NS,0.0,,,,EW,,1154.0,0.0,2.0,,3337.0,_BW,26.83,2442.0,0.0,-6.84,1075.0,1184.7,1075.0,EW_BW,1179.75,13.0,0.02231369150779896
2024-11-25,TRABI.BO,0.0,,,,EW,,7.0,1.0,1.0,,3337.0,_DC,33.06,2234.0,0.0,-4.79,6.21,7.14,6.21,EW_DC,6.489999771118164,1266.0,-0.07285717555454799
2024-11-25,TRANSCOR.BO,0.0,,,,EW,,37.0,2.0,2.0,,3337.0,_DC,42.69,1913.0,0.0,-1.46,33.1,39.7,33.1,EW_DC,34.689998626708984,256.0,-0.062432469548405825
2024-11-25,TRITURBINE.NS,0.0,,,BB,,,712.8,0.0,0.0,,3337.0,_DC,69.15,1030.0,0.0,9.17,,715.75,613.05,BB_DC,764.1500244140625,10.0,0.07203987712410571
2024-11-25,TRIVENI.NS,0.0,,,BB,,,378.95,0.0,2.0,,3337.0,_DC,44.81,1842.0,0.0,-0.77,,383.0,356.55,BB_DC,382.6000061035156,45.0,0.009631893662793605
2024-11-25,TVTODAY.NS,0.0,,,BB,,,197.99,0.0,2.0,,3337.0,_DC,16.85,2775.0,0.0,-11.98,,199.0,183.29,BB_DC,199.1699981689453,68.0,0.005959887716275081
2024-11-25,UBL.NS,0.0,,,BB,,,1892.0,0.0,2.0,,3337.0,_DC,42.9,1906.0,0.0,-1.38,,1986.15,1810.0,BB_DC,1897.1500244140625,12.0,0.0027220002188491016
2024-11-25,UFLEX.NS,0.0,,,BB,,,565.65,3.0,4.0,,3337.0,_DC,63.52,1218.0,0.0,6.35,,624.0,540.1,BB_DC,565.5,39.0,-0.00026518164942981924
2024-11-25,ULTRACAB.BO,0.0,,,,EW,,15.0,0.0,1.0,,3337.0,_BW,27.43,2422.0,0.0,-6.67,14.18,16.55,14.18,EW_BW,15.40999984741211,1220.0,0.02733332316080729
2024-11-25,UNIVSTAR.BO,0.0,,,BB,EW,,180.0,0.0,2.0,,3337.0,_DC,30.79,2310.0,0.0,-5.59,168.3,189.9,168.3,EWBB_DC,177.4499969482422,85.0,-0.014166683620876737
2024-11-25,UNOMINDA.NS,0.0,,,BB,,,1114.2,0.0,0.0,,3337.0,_UC,81.86,606.0,0.0,19.28,,1120.0,916.05,BB_UC,1077.3499755859375,5.0,-0.033073078813554604
2024-11-25,UTTAMSUGAR.NS,0.0,,,BB,,,281.25,1.0,2.0,,3337.0,_DC,16.07,2801.0,0.0,-12.54,,328.35,272.0,BB_DC,282.54998779296875,108.0,0.004622178819444445
