Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,BOSCHLTD.NS,,,,EW,,,35043.0,,,2.0,2.0,,,,,3525.0,_DC,100.0,1.0,32830.5,,,39088.8,32830.5,,EW_DC,34784.8984375,0.0,-0.007365281582627058
2024-11-25,BPCL.NS,,,BB,,,,296.55,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,376.0,279.35,,BB_DC,292.75,58.0,-0.012814027988534855
2024-11-25,BRADYM.BO,,,,EW,,,1592.0,,,0.0,0.0,,,,,3525.0,_UC,100.0,1.0,1440.2,,,2511.3,1440.2,,EW_UC,1842.5,7.0,0.1573492462311558
2024-11-25,BRIGADE.NS,,,BB,,,ZZ,1227.9,0.0,14.0,0.0,2.0,1209.11,1225.76,1242.41,,3525.0,_DC,100.0,1.0,,5.0,5.0,1448.7,1049.05,,BB_DC,1243.75,6.0,0.01290821728153751
2024-11-25,BTTL.BO,,,BB,EW,,ZZ,45.0,0.0,14.0,0.0,1.0,43.58,44.68,45.78,,3525.0,_DC,100.0,1.0,40.6,4.0,4.0,73.8,40.6,,EWBB_DC,46.0,227.0,0.022222222222222223
2024-11-25,CAPACITE.NS,,ATR,,,,ZZ,392.35,0.0,16.0,4.0,5.0,363.96,378.93,393.9,,3525.0,_DC,100.0,1.0,,6.0,6.0,415.0,329.5,,ATR_DC,422.5,16.0,0.07684465400790105
2024-11-25,CARERATING.NS,,ATR,,,,,1477.25,,,3.0,1.0,,,,,3525.0,_UC,100.0,1.0,,,,1571.0,921.8,,ATR_UC,1503.949951171875,2.0,0.01807409116390252
2024-11-25,CCL.NS,,,BB,,,ZZ,747.65,0.0,55.0,0.0,0.0,702.12,733.26,764.4,,3525.0,_W,100.0,1.0,,21.0,21.0,768.8,616.65,,BB_W,783.5999755859375,8.0,0.048083963868036546
2024-11-25,CEATLTD.NS,,,,,LR,ZZ,2913.6,0.0,9.0,0.0,2.0,2827.17,2879.69,2932.2,,3525.0,_DC,100.0,1.0,,6.0,6.0,2929.0,2660.0,,LR_DC,2975.050048828125,4.0,0.021090763601086318
2024-11-25,CEETAIN.BO,,,BB,,,,47.9,,,,4.0,,,,,3525.0,_W,100.0,1.0,,,,70.09,37.1,,BB_W,51.45000076293945,93.0,0.07411275079205543
2024-11-25,CEINSYSTECH.BO,,,BB,,,ZZ,1538.1,0.0,14.0,0.0,0.0,1433.01,1490.17,1547.32,,3525.0,_UC,100.0,1.0,,10.0,10.0,1538.2,500.0,,BB_UC,1515.199951171875,1.0,-0.014888530542958788
2024-11-25,CGPOWER.NS,,,,,LR,ZZ,736.7,0.0,29.0,0.0,2.0,727.04,735.62,744.19,,3525.0,_DC,100.0,1.0,,6.0,6.0,764.0,681.1,,LR_DC,758.5,18.0,0.02959142120266045
2024-11-25,CHALET.NS,,ATR,,EW,,ZZ,898.0,0.0,8.0,2.0,2.0,841.45,871.55,901.65,,3525.0,_BW,100.0,1.0,810.8,6.0,6.0,947.0,803.4,,ATREW_BW,897.9000244140625,11.0,-0.00011133138745824054
