Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-26,CCCL.BO,1.0,,,,,LR,ZZ,18.11,0.0,8.0,0.0,2.0,16.73,17.68,18.63,,3563.0,_W,99.66,13.0,21.37,362.41,,5.0,5.0,28.68,14.85,,LR_W,18.6299991607666,307.0,0.02871337166022099
2024-11-26,CCLINTER.BO,1.0,,,,EW,,,31.0,,,13.0,12.0,,,,,3563.0,_BW,68.02,1140.0,5.92,10.12,29.41,,,36.42,29.41,,EW_BW,29.770000457763672,629.0,-0.03967740458826865
2024-11-26,CGCL.NS,1.0,,,BB,,,,211.57,,,4.0,5.0,,,,,3563.0,_W,38.24,2201.0,7.34,-1.41,,,,216.0,177.99,,BB_W,209.4499969482422,30.0,-0.01002033866690838
2024-11-26,CHEMTECH.BO,1.0,,,,EW,,ZZ,232.0,0.0,15.0,0.0,1.0,222.41,227.98,233.56,,3563.0,_DC,80.57,693.0,6.78,19.5,201.6,5.0,5.0,326.0,201.6,,EW_DC,225.25,33.0,-0.029094827586206896
2024-11-26,CHLOGIST.BO,0.0,,,,EW,,,10.0,,,2.0,2.0,,,,,3563.0,_DC,37.11,2241.0,1.3,-1.86,9.5,,,12.5,9.15,,EW_DC,10.069999694824219,1176.0,0.006999969482421875
2024-11-26,CIEINDIA.NS,0.0,,,BB,,,,476.2,,,0.0,1.0,,,,,3563.0,_DC,28.41,2551.0,3.34,-5.52,,,,602.85,453.1,,BB_DC,476.45001220703125,43.0,0.0005250151344629596
2024-11-26,CIGNITITEC.NS,1.0,,ATR,BB,,,ZZ,1623.85,0.0,20.0,0.0,0.0,1597.2,1613.69,1630.18,,3563.0,_BW,82.34,630.0,5.3,21.5,,5.0,5.0,1648.95,1312.15,,ATRBB_BW,1604.050048828125,3.0,-0.012193214380561573
2024-11-26,CINEVISTA.NS,1.0,,,,EW,,,18.0,,,0.0,0.0,,,,,3563.0,_DC,41.3,2092.0,4.85,-0.41,16.5,,,23.8,16.5,,EW_DC,18.5,667.0,0.027777777777777776
2024-11-26,CMMHOSP.BO,1.0,,,BB,,,ZZ,43.42,0.0,17.0,11.0,4.0,38.27,40.24,42.22,,3563.0,_AT,81.05,676.0,7.25,20.05,,16.0,16.0,45.7,33.0,,BB_AT,50.470001220703125,96.0,0.16236760066105765
2024-11-26,CONART.BO,0.0,,,BB,,,ZZ,200.55,0.0,10.0,3.0,3.0,187.16,200.23,213.3,,3563.0,_W,93.51,232.0,3.35,45.53,,5.0,5.0,218.1,146.0,,BB_W,207.10000610351562,18.0,0.03266021492653011
2024-11-26,CONFIPET.NS,0.0,,,,EW,,,73.0,,,0.0,1.0,,,,,3563.0,_DC,23.78,2716.0,2.88,-7.66,65.51,,,98.54,65.51,,EW_DC,76.23999786376953,134.0,0.04438353238040454
2024-11-26,CORNE.BO,1.0,,,BB,EW,,,17.0,,,0.0,0.0,,,,,3563.0,_DC,75.77,864.0,5.78,15.12,15.17,,,22.31,15.17,,EWBB_DC,15.369999885559082,546.0,-0.09588235967299517
2024-11-26,COSYN.BO,0.0,,,BB,,,,44.51,,,1.0,1.0,,,,,3563.0,_DC,52.08,1708.0,2.54,3.22,,,,61.68,42.0,,BB_DC,44.52000045776367,398.0,0.00022467889830765818
2024-11-26,CUBIFIN.BO,0.0,,,BB,,,ZZ,2.61,0.0,7.0,2.0,1.0,2.47,2.55,2.63,,3563.0,_W,88.15,423.0,3.65,31.05,,5.0,5.0,2.71,1.97,,BB_W,2.859999895095825,1563.0,0.09578540041985645
2024-11-26,CYBERTECH.NS,1.0,,,,EW,,,201.0,,,0.0,1.0,,,,,3563.0,_DC,72.46,982.0,6.11,12.49,181.0,,,293.0,181.0,,EW_DC,221.47999572753906,50.0,0.10189052600765702
2024-11-26,CYIENT.NS,0.0,,,,,LR,ZZ,1868.7,0.0,11.0,3.0,5.0,1814.5,1856.03,1897.57,,3563.0,_UC,56.01,1568.0,0.03,4.62,,5.0,5.0,1930.45,1695.1,,LR_UC,1857.800048828125,6.0,-0.005832905855340635
2024-11-26,DBL.NS,0.0,,,,EW,,,448.0,,,1.0,1.0,,,,,3563.0,_DC,44.36,1983.0,1.11,0.5,422.35,,,588.0,422.35,,EW_DC,490.95001220703125,39.0,0.09587056296212333
2024-11-26,DCI.NS,0.0,,,BB,,,,343.3,,,1.0,1.0,,,,,3563.0,_DC,84.05,569.0,2.43,23.83,,,,429.4,316.55,,BB_DC,330.0,37.0,-0.03874162540052435
2024-11-26,DELTAMAGNT.NS,1.0,,ATR,BB,,,ZZ,111.09,0.0,29.0,11.0,0.0,91.33,97.72,104.1,,3563.0,_UC,80.77,686.0,12.09,19.72,,18.0,18.0,113.35,85.8,,ATRBB_UC,104.94999694824219,40.0,-0.05527052886630494
2024-11-26,DHAMPURE.BO,0.0,,,BB,,,,94.75,,,1.0,1.0,,,,,3563.0,_DC,49.92,1785.0,-0.8,2.41,,,,116.26,90.3,,BB_DC,96.6500015258789,225.0,0.020052786552811674
2024-11-26,DHANI.NS,1.0,,,BB,,,ZZ,76.42,0.0,9.0,0.0,0.0,74.78,76.94,79.11,,3563.0,_BW,93.49,233.0,7.04,45.52,,6.0,6.0,77.48,47.05,,BB_BW,75.76000213623047,34.0,-0.008636454642364995
2024-11-26,DNAMEDIA.NS,1.0,,,BB,,,ZZ,5.43,0.0,9.0,2.0,2.0,5.13,5.28,5.43,,3563.0,_W,75.18,885.0,7.25,14.6,,6.0,6.0,5.83,4.57,,BB_W,5.239999771118164,1163.0,-0.0349908340482202
2024-11-26,DONEAR.NS,1.0,,,,EW,,,113.0,,,0.0,7.0,,,,,3563.0,_UC,52.39,1697.0,5.31,3.39,105.15,,,132.87,105.15,,EW_UC,118.02999877929688,127.0,0.04451326353360066
