Ticker,Last Alert Date,Buy Price,Target,Call,Status
AMBIKCO.NS,2024-09-17,,1821.13,Short,Close
AMBITION.BO,2024-08-22,2.69,,Long,Open
AMBUJACEM.NS,2024-07-01,,692.36,Short,Close
AMCOIND.BO,2024-10-29,88.14,,Long,Open
AMDIND.NS,2024-10-18,,70.77,Short,Close
AMFORG.BO,2024-10-14,,10.99,Short,Close
AMJLAND.NS,2024-10-28,46.45,,Long,Open
AMNPLST.BO,2024-10-29,281.11,,Long,Open
AMRAAGRI.BO,2024-08-26,,1.18,Short,Close
AMRAPLIN.BO,2024-10-14,,17.16,Short,Close
AMRUTANJAN.NS,2024-10-16,,782.53,Short,Close
AMTL.BO,2024-10-28,34.15,,Long,Open
ANANTRAJ.NS,2024-10-28,647.9,,Long,Open
ANDHRAPAP.NS,2024-09-10,,117.07,Short,Close
ANDHRAPET.BO,2024-09-13,,100.93,Short,Close
ANDHRSUGAR.NS,2024-10-28,93.44,,Long,Open
ANDREWYU.BO,2024-10-28,38.31,,Long,Open
ANERI.BO,2024-09-30,5.98,,Long,Open
ANG.BO,2024-10-30,46.4,,Long,Open
ANGELONE.NS,2024-10-28,2842.73,,Long,Open
ANIKINDS.NS,2024-10-24,77.32,,Long,Open
ANJANI.BO,2024-10-30,45.64,,Long,Open
ANJANIFIN.BO,2024-10-14,,13.91,Short,Close
ANJANIFOODS.BO,2024-10-28,34.1,,Long,Open
ANKIN.BO,2024-10-25,13.17,,Long,Open
ANKITMETAL.NS,2024-10-22,,3.96,Short,Close
ANMOL.BO,2024-10-25,30.27,,Long,Open
ANNAINFRA.BO,2024-10-18,31.45,,Long,Open
ANSALAPI.NS,2024-09-20,,14.59,Short,Close
ANSALBU.BO,2024-10-21,,215.88,Short,Close
ANSALHSG.BO,2024-10-29,16.61,,Long,Open
ANSINDUS.BO,2024-10-30,8.88,,Long,Open
ANUHPHR.BO,2024-10-14,,210.25,Short,Close
ANUP.NS,2024-09-26,2205.76,,Long,Open
ANURAS.NS,2024-10-28,688.47,,Long,Open
APARINDS.NS,2024-10-15,,10862.64,Short,Close
APCL.NS,2024-10-04,,186.5,Short,Close
APCOTEXIND.NS,2024-08-30,,460.96,Short,Close
APEX.NS,2024-10-18,,263.35,Short,Close
APIL.BO,2024-10-29,,24.0,Short,Close
APLAB.BO,2024-09-06,,83.16,Short,Close
APLAPOLLO.NS,2024-10-01,,1614.19,Short,Close
APLLTD.NS,2024-10-16,,1189.05,Short,Close
APMIN.BO,2024-09-16,,59.06,Short,Close
APOLLO.NS,2024-10-24,94.78,,Long,Open
APOLLOFI.BO,2024-10-28,796.13,,Long,Open
APOLLOHOSP.NS,2024-10-08,6796.53,,Long,Open
APOLLOPIPE.NS,2024-09-04,,654.0,Short,Close
APOLLOTYRE.NS,2024-09-27,,553.18,Short,Close
APOLSINHOT.NS,2024-10-28,1702.5,,Long,Open
APTECHT.NS,2024-10-29,172.63,,Long,Open
ARAVALIS.BO,2024-10-23,4.49,,Long,Open
ARCEEIN.BO,2024-10-25,5.6,,Long,Open
ARCFIN.BO,2024-10-18,1.96,,Long,Open
ARCHIDPLY.NS,2024-10-28,112.07,,Long,Open
ARCHIES.NS,2024-10-01,33.3,,Long,Open
ARCHITORG.BO,2024-10-11,,46.93,Short,Close
ARENTERP.NS,2024-08-09,,77.49,Short,Close
AREXMIS.BO,2024-10-30,,164.25,Short,Close
ARFIN.BO,2024-10-23,35.7,,Long,Open
ARIES.NS,2024-10-28,233.5,,Long,Open
ARIHANT.BO,2024-10-04,463.92,,Long,Open
ARIHANTSUP.NS,2024-10-01,,430.0,Short,Close
ARISE.BO,2024-10-24,,36.75,Short,Close
ARMANFIN.NS,2024-09-20,,1839.75,Short,Close
ARNOLD.BO,2024-10-18,,54.93,Short,Close
AROGRANITE.NS,2024-09-23,,60.68,Short,Close
ARROWGREEN.NS,2024-10-24,,824.15,Short,Close
ARSHIYA.NS,2024-08-30,,5.38,Short,Close
ARSSINFRA.NS,2024-10-29,16.41,,Long,Open
ARTEFACT.BO,2024-09-13,,81.95,Short,Close
ARTEMISMED.NS,2024-10-30,272.24,,Long,Open
ARTNIRMAN.NS,2024-10-22,,60.86,Short,Close
ARTSONEN.BO,2024-10-24,166.4,,Long,Open
ARUNAHTEL.BO,2024-09-12,,12.18,Short,Close
ARVEE.NS,2024-10-29,156.22,,Long,Open
ARVIND.NS,2024-10-28,326.38,,Long,Open
ARVINDFASN.NS,2024-10-15,,634.66,Short,Close
ARVSMART.NS,2024-10-28,802.82,,Long,Open
ARYAMAN.BO,2024-09-06,,421.69,Short,Close
ASAHIINDIA.NS,2024-09-23,,819.85,Short,Close
ASAHISONG.NS,2024-10-11,,480.5,Short,Close
ASAL.NS,2024-10-30,671.66,,Long,Open
ASALCBR.NS,2024-10-28,836.0,,Long,Open
ASHAI.BO,2024-10-15,,17.06,Short,Close
ASHAPURMIN.NS,2024-10-30,227.01,,Long,Open
ASHCAP.BO,2024-10-28,4.08,,Long,Open
ASHIANA.NS,2024-09-13,,356.92,Short,Close
ASHIMASYN.NS,2024-10-03,,36.85,Short,Close
ASHIS.BO,2024-10-30,46.13,,Long,Open
ASHISHPO.BO,2024-10-09,,64.01,Short,Close
ASHNOOR.BO,2024-10-17,,51.58,Short,Close
ASHOKA.NS,2024-10-28,217.3,,Long,Open
ASHOKLEY.NS,2024-08-27,,263.14,Short,Close
ASHRAM.BO,2024-10-29,5.07,,Long,Open
ASHSI.BO,2024-08-28,,40.56,Short,Close
ASIANENE.BO,2024-10-29,329.3,,Long,Open
ASIANHOTNR.NS,2024-10-28,178.12,,Long,Open
ASIANPAINT.NS,2024-09-17,,3337.88,Short,Close
ASIANTILES.NS,2024-09-25,,90.65,Short,Close
ASIANTNE.BO,2024-10-16,,16.13,Short,Close
ASIAPAK.BO,2024-10-28,68.54,,Long,Open
ASINPET.BO,2021-03-05,3.34,,Long,Open
ASITCFIN.BO,2024-10-01,,173.09,Short,Close
ASMTEC.BO,2024-10-25,1377.6,,Long,Open
ASPINWALL.NS,2024-10-16,,289.35,Short,Close
ASPIRA.BO,2024-10-28,50.41,,Long,Open
ASTAR.BO,2024-09-23,,881.5,Short,Close
ASTEC.NS,2024-09-24,1223.06,,Long,Open
ASTERDM.NS,2024-10-24,431.24,,Long,Open
ASTRAL.NS,2024-09-26,,2022.42,Short,Close
ASTRAMICRO.NS,2024-10-28,727.18,,Long,Open
ASTRAZEN.NS,2024-10-09,,8021.0,Short,Close
ASTRON.NS,2024-08-30,,24.94,Short,Close
ASYL.BO,2024-10-11,,6.22,Short,Close
ATALREAL.NS,2024-10-07,8.21,,Long,Open
ATAM.BO,2024-08-19,,183.21,Short,Close
ATFL.NS,2024-10-28,891.66,,Long,Open
ATGL.NS,2024-06-07,,979.9,Short,Close
ATHARVENT.BO,2024-10-28,,2.69,Short,Close
ATHENAGLO.BO,2024-10-10,,100.75,Short,Close
ATISHAY.BO,2024-10-30,162.3,,Long,Open
ATUL.NS,2024-10-10,,8100.91,Short,Close
ATULAUTO.NS,2024-09-04,,710.58,Short,Close
ATVPR.BO,2024-10-30,32.52,,Long,Open
