Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-30,GOCLCORP.NS,EW_DC,2024-10-30,379.55,414.0,,Long,Open,408.15,2024-11-12,29.03,,,India
2024-10-30,GODREJCP.NS,BB_DC,2024-09-12,1238.7,1300.05,1526.63,Short,Closed,1179.0,2024-11-12,16.3,ISL Hit,1238.7,India
2024-10-30,GOKAKTEX.BO,EW_DC,2024-11-07,182.25,202.0,216.3,Short,Closed,191.15,2024-11-12,50.63,Target Hit,216.3,India
2024-10-30,GOKEX.NS,BB_DC,2024-10-31,820.45,861.7,,Long,Open,854.05,2024-11-12,24.24,,,India
2024-10-30,GOKULAGRO.NS,BBLR_DC,2024-10-23,245.3,277.4,,Long,Open,311.5,2024-11-12,31.15,,,India
2024-10-30,GOLDCOINHF.BO,EW_UC,2024-10-30,9.49,10.0,,Long,Open,12.14,2024-11-12,1960.78,,,India
2024-10-30,GOLECHA.BO,BB_DC,2024-10-28,26.0,33.62,,Long,Open,32.7,2024-11-12,131.23,,,India
2024-10-30,GPIL.NS,EWBB_DC,2024-10-30,161.45,189.0,,Long,Open,196.5,2024-11-12,36.3,,,India
2024-10-30,GRATEXI.BO,EW_UC,2024-11-04,20.0,21.0,,Long,Open,,2000-01-01,1000.0,,,India
2024-10-30,GRAVITY.BO,ATR_UC,2024-11-06,4.02,5.06,8.4,Short,Closed,7.59,2024-11-11,961.54,Target Hit,8.4,India
2024-10-30,GREENLAM.NS,BB_DC,2024-10-24,493.35,533.15,,Long,Open,548.45,2024-11-12,25.13,,,India
2024-10-30,GRPLTD.NS,EW_BW,2024-11-06,2904.1,3177.0,3476.75,Short,Closed,3220.0,2024-11-12,3.66,Target Hit,3476.75,India
2024-10-30,GSAUTO.BO,EW_DC,2024-10-30,33.55,40.0,,Long,Open,,2000-01-01,155.04,,,India
2024-10-30,GSFC.NS,BB_DC,2024-11-06,192.0,209.13,,Long,Open,197.99,2024-11-12,58.38,,,India
2024-10-30,GTL.NS,EW_DC,2024-10-30,11.6,13.0,,Long,Open,12.56,2024-11-12,714.29,,,India
2024-10-30,GTNTEX.BO,EW_BW,2024-10-30,10.76,11.0,,Long,Open,11.86,2024-11-12,4166.67,,,India
2024-10-30,GUFICBIO.NS,EW_BW,2024-10-30,411.15,439.0,,Long,Open,453.35,2024-11-12,35.91,,,India
2024-10-30,GUJINTRX.BO,EW_DC,2024-10-30,450.5,488.0,,Long,Open,,2000-01-01,26.67,,,India
2024-10-30,GUJRAFFIA.NS,EW_DC,2024-10-30,40.27,45.0,,Long,Open,44.18,2024-11-12,211.42,,,India
2024-10-30,GULFOILLUB.NS,EW_DC,2024-11-06,1084.25,1158.0,1257.96,Short,Closed,1174.9,2024-11-12,13.56,Target Hit,1257.96,India
2024-10-30,GULFPETRO.NS,EW_DC,2024-11-04,64.1,69.0,,Long,Open,66.34,2024-11-12,204.08,,,India
2024-10-30,HARDWYN.BO,ATREWBB_DC,2024-11-01,34.0,39.0,41.37,Short,Closed,37.57,2024-11-12,200.0,Target Hit,41.37,India
2024-10-30,HATHWAYB.BO,BB_DC,2024-10-29,17.0,18.23,,Long,Open,,2000-01-01,813.01,,,India
2024-10-30,HBESD.BO,ATR_UC,2024-10-30,95.8,103.7,,Long,Open,104.95,2024-11-12,126.58,,,India
2024-10-30,HBSL.NS,BB_W,2024-11-07,126.0,136.87,139.0,Short,Closed,105.45,2024-11-12,92.0,ISL Hit,126.0,India
2024-10-30,HCL-INSYS.NS,EW_BW,2024-10-30,15.98,17.0,,Long,Open,17.6,2024-11-12,980.39,,,India
2024-10-30,HEXATRADEX.NS,EW_W,2024-10-30,240.0,260.0,,Long,Open,275.05,2024-11-12,50.0,,,India
2024-10-30,HGS.NS,EW_BW,2024-10-30,725.2,768.0,,Long,Open,743.05,2024-11-12,23.36,,,India
2024-10-30,HINDCON.NS,EW_DC,2024-10-30,42.03,46.0,,Long,Open,45.19,2024-11-12,251.89,,,India
2024-10-30,HINDTIN.BO,BB_DC,2024-09-25,183.0,201.05,230.18,Short,Close,,2000-01-01,55.4,,,India
2024-10-30,HINDZINC.NS,BB_UC,2024-10-30,494.0,560.4,569.59,Short,Closed,504.55,2024-11-12,15.06,Target Hit,569.59,India
2024-10-30,HITECHGEAR.NS,EW_DC,2024-10-30,710.05,768.0,,Long,Open,837.0,2024-11-12,17.26,,,India
2024-10-30,HLEGLAS.BO,BB_DC,2024-11-08,350.05,369.1,392.0,Short,Close,,2000-01-01,52.49,,,India
2024-10-30,HOMEFIRST.NS,BB_DC,2024-10-30,1081.8,1210.65,1232.94,Short,Closed,1046.85,2024-11-12,7.76,ISL Hit,1081.8,India
2024-10-30,HONDAPOWER.NS,EW_BW,2024-10-30,3555.05,3770.0,,Long,Open,3594.35,2024-11-12,4.65,,,India
2024-10-30,HOTLSILV.BO,BB_DC,2024-08-02,15.15,16.24,17.96,Short,Closed,16.2,2024-11-12,917.43,Target Hit,17.96,India
2024-10-30,HPCOTTON.BO,BB_DC,2024-11-01,120.1,126.25,137.72,Short,Close,,2000-01-01,162.6,,,India
2024-10-30,HPL.NS,BB_DC,2024-10-29,436.0,519.1,,Long,Open,507.0,2024-11-12,12.03,,,India
2024-10-30,HUBTOWN.NS,BB_DC,2024-10-28,241.35,275.3,,Long,Open,289.0,2024-11-12,29.46,,,India
2024-10-30,ICRA.NS,BB_W,2024-10-31,6766.0,7078.85,,Long,Open,6823.0,2024-11-12,3.2,,,India
2024-10-30,IFBAGRO.NS,EW_DC,2024-10-30,503.0,545.0,,Long,Open,568.2,2024-11-12,23.81,,,India
2024-10-30,IFCI.NS,EWBB_DC,2024-11-07,49.72,57.0,68.4,Short,Closed,63.65,2024-11-12,137.36,Target Hit,68.4,India
2024-10-30,IGARASHI.NS,BB_DC,2024-10-28,653.95,716.1,,Long,Open,725.0,2024-11-12,16.09,,,India
2024-10-30,IGPL.NS,EWBB_DC,2024-10-30,513.0,568.0,,Long,Open,586.5,2024-11-12,18.18,,,India
2024-10-30,INCON.BO,EW_BW,2024-10-30,13.23,14.0,,Long,Open,14.22,2024-11-12,1298.7,,,India
2024-10-30,INDOAMIN.BO,EW_DC,2024-10-30,157.0,173.0,,Long,Open,,2000-01-01,62.5,,,India
2024-10-30,INDOCITY.BO,BB_DC,2024-10-24,13.31,15.15,,Long,Open,14.12,2024-11-12,543.48,,,India
2024-10-30,INDPRUD.BO,EW_BW,2024-10-31,6530.0,7377.0,7609.25,Short,Close,,2000-01-01,1.18,,,India
