Ticker,Date/Time,Close,Mega Buy by Larger Wave ,SL
ACML.BO,10/9/2024,71,70.46,66.67
ACML.BO,10/29/2024,71,66.86,60.10
ADANIGREEN.NS,9/16/2024,1634,1860.28,1780.40
ACROW.BO,8/26/2024,681,676.96,620.90
ACROW.BO,9/11/2024,681,744.86,707.00
ACROW.BO,9/27/2024,681,732.09,722.00
ACROW.BO,10/8/2024,681,760.90,725.00
ADANIPORTS.NS,10/28/2024,1396,1318.39,1303.15
ADANIPOWER.NS,9/2/2024,592,642.15,628.05
ADANIPOWER.NS,9/3/2024,592,660.79,628.05
ADANIPOWER.NS,9/4/2024,592,651.50,628.05
ADANIPOWER.NS,9/5/2024,592,644.72,628.05
ADANIPOWER.NS,9/6/2024,592,634.51,628.05
ADANIPOWER.NS,9/9/2024,592,627.00,621.00
ADANIPOWER.NS,9/10/2024,592,636.25,621.00
ADANIPOWER.NS,9/12/2024,592,631.00,621.00
ADANIENT.NS,9/20/2024,2969,2962.79,2890.35
ADANIENT.NS,10/8/2024,2969,3038.64,2980.45
ADANIENT.NS,10/28/2024,2969,2709.68,2654.70
ADCON.BO,8/21/2024,1,0.79,0.77
ADCON.BO,9/2/2024,1,0.88,0.86
ADCON.BO,9/10/2024,1,0.90,0.86
ADCON.BO,9/26/2024,1,0.99,0.97
ADCON.BO,10/16/2024,1,0.89,0.83
ADCINDIA.BO,8/19/2024,1773,1918.72,1818.75
ADCINDIA.BO,9/2/2024,1773,2014.72,1950.00
ADCINDIA.BO,9/24/2024,1773,1871.24,1850.00
ADCINDIA.BO,10/8/2024,1773,1763.91,1725.00
ADCINDIA.BO,10/29/2024,1773,1625.32,1530.00
ADDIND.BO,9/11/2024,42,49.51,46.22
ADDIND.BO,10/24/2024,42,39.49,37.65
ADARSHPL.BO,8/13/2024,28,31.89,28.12
ADARSHPL.BO,8/14/2024,28,33.74,28.12
ADARSHPL.BO,8/16/2024,28,33.33,28.12
ADARSHPL.BO,8/19/2024,28,34.11,28.12
ADARSHPL.BO,8/20/2024,28,35.39,28.12
ADARSHPL.BO,8/21/2024,28,34.52,28.12
ADARSHPL.BO,8/22/2024,28,34.76,28.12
ADARSHPL.BO,9/17/2024,28,31.62,31.00
ADARSHPL.BO,10/4/2024,28,31.49,30.35
ADARSHPL.BO,10/8/2024,28,29.90,29.14
ADIEXRE.BO,9/18/2024,26,26.17,24.65
ADIEXRE.BO,9/26/2024,26,24.47,24.01
ADIEXRE.BO,10/9/2024,26,24.98,24.38
ADFFOODS.NS,9/11/2024,286,263.08,226.60
ADFFOODS.NS,9/17/2024,286,276.99,226.60
ADFFOODS.NS,9/18/2024,286,283.50,226.60
ADFFOODS.NS,9/19/2024,286,270.56,265.75
ADFFOODS.NS,9/20/2024,286,272.16,265.75
ADFFOODS.NS,9/23/2024,286,269.01,265.75
ADFFOODS.NS,9/24/2024,286,266.95,265.35
ADFFOODS.NS,9/25/2024,286,272.30,265.35
ADFFOODS.NS,9/26/2024,286,272.59,265.35
ADFFOODS.NS,9/27/2024,286,272.55,265.35
ADFFOODS.NS,10/7/2024,286,268.21,252.10
ADFFOODS.NS,10/8/2024,286,268.79,252.10
ADFFOODS.NS,10/16/2024,286,295.05,288.05
ADFFOODS.NS,10/17/2024,286,308.99,288.05
ADFFOODS.NS,10/18/2024,286,300.54,288.05
ADFFOODS.NS,10/21/2024,286,297.13,288.05
ADFFOODS.NS,10/22/2024,286,282.94,278.00
ADFFOODS.NS,10/23/2024,286,280.85,276.05
ADFFOODS.NS,10/24/2024,286,283.56,276.05
ADFFOODS.NS,10/28/2024,286,274.15,268.00
ADL.NS,8/13/2024,93,96.38,88.30
ADL.NS,8/14/2024,93,94.93,88.30
ADL.NS,8/16/2024,93,95.50,93.40
ADL.NS,8/19/2024,93,96.01,93.40
ADL.NS,8/20/2024,93,97.47,93.40
ADL.NS,8/21/2024,93,97.07,93.40
ADL.NS,8/22/2024,93,96.51,93.40
ADL.NS,8/23/2024,93,95.60,93.40
ADL.NS,8/26/2024,93,96.55,93.40
ADL.NS,8/27/2024,93,95.62,94.50
ADL.NS,8/28/2024,93,94.47,93.00
ADL.NS,8/29/2024,93,93.74,92.41
ADL.NS,8/30/2024,93,97.61,92.41
ADL.NS,9/2/2024,93,101.39,92.41
ADL.NS,9/3/2024,93,102.23,92.41
ADL.NS,9/4/2024,93,100.10,92.41
ADL.NS,9/5/2024,93,101.45,92.41
ADL.NS,9/6/2024,93,99.21,98.40
ADL.NS,9/9/2024,93,98.61,96.95
ADL.NS,9/10/2024,93,100.46,96.95
ADL.NS,9/11/2024,93,105.17,96.95
ADL.NS,9/12/2024,93,137.90,96.95
ADINATH.BO,8/21/2024,29,30.25,29.12
ADINATH.BO,9/30/2024,29,28.63,28.01
ADITYASP.BO,8/26/2024,29,22.94,21.20
ADITYASP.BO,9/6/2024,29,24.37,21.90
ADITYASP.BO,9/9/2024,29,24.89,21.90
ADITYASP.BO,9/17/2024,29,25.33,23.99
ADITYASP.BO,9/30/2024,29,26.51,25.05
ADITYASP.BO,10/7/2024,29,25.00,24.06
ADITYASP.BO,10/8/2024,29,24.85,24.00
ADITYASP.BO,10/9/2024,29,25.51,24.00
ADITYASP.BO,10/10/2024,29,25.60,24.00
ADITYASP.BO,10/11/2024,29,25.36,24.00
ADITYASP.BO,10/14/2024,29,24.91,24.00
ADITYASP.BO,10/15/2024,29,25.53,24.00
ADITYASP.BO,10/16/2024,29,26.56,24.00
ADITYASP.BO,10/17/2024,29,27.66,24.00
ADITYASP.BO,10/29/2024,29,28.40,25.26
ADORFO.BO,7/11/2024,141,144.01,138.00
ADORFO.BO,9/10/2024,141,133.05,127.80
ADORMUL.BO,9/10/2024,35,37.97,32.21
ADORMUL.BO,9/23/2024,35,36.38,34.30
ADORMUL.BO,10/14/2024,35,36.85,33.65
ADORMUL.BO,10/24/2024,35,35.40,34.20
ADVAIT.BO,8/16/2024,1722,1837.50,1815.00
ADVAIT.BO,8/28/2024,1722,1897.43,1852.50
ADVAIT.BO,9/23/2024,1722,1765.95,1740.00
ADVAIT.BO,10/10/2024,1722,1788.30,1635.00
ADVAIT.BO,10/25/2024,1722,1668.16,1591.15
ADROITINFO.NS,8/21/2024,20,16.70,16.21
ADROITINFO.NS,9/11/2024,20,18.28,17.90
ADROITINFO.NS,9/27/2024,20,18.28,17.25
ADROITINFO.NS,10/8/2024,20,18.11,17.11
ADROITINFO.NS,10/10/2024,20,19.95,17.11
ADROITINFO.NS,10/11/2024,20,21.17,17.11
ADROITINFO.NS,10/14/2024,20,22.58,17.11
ADROITINFO.NS,10/15/2024,20,21.98,17.11
ADROITINFO.NS,10/16/2024,20,21.36,17.11
ADROITINFO.NS,10/17/2024,20,20.77,17.11
ADROITINFO.NS,10/18/2024,20,20.67,20.23
ADROITINFO.NS,10/21/2024,20,19.88,19.35
ADROITINFO.NS,10/23/2024,20,19.32,18.75
ADSL.NS,9/4/2024,264,270.10,201.31
ADSL.NS,9/5/2024,264,301.23,201.31
ADSL.NS,9/6/2024,264,293.04,201.31
ADSL.NS,9/12/2024,264,295.69,201.31
ADSL.NS,9/30/2024,264,263.00,259.10
ADSL.NS,10/8/2024,264,252.23,240.00
ADSL.NS,10/23/2024,264,286.48,280.00
ADORWELD.NS,9/6/2024,1283,1345.99,1269.80
ADORWELD.NS,10/8/2024,1283,1324.99,1300.00
ADVENZYMES.NS,8/14/2024,455,423.13,400.00
ADVENZYMES.NS,9/3/2024,455,440.75,435.10
ADVENZYMES.NS,10/25/2024,455,422.34,415.80
ADVANIHOTR.NS,9/2/2024,66,76.42,73.75
ADVANIHOTR.NS,9/23/2024,66,74.34,72.00
ADVIKCA.BO,9/10/2024,2,2.61,2.46
ADVIKCA.BO,10/7/2024,2,2.78,2.70
ADVIKCA.BO,10/25/2024,2,2.31,2.03
AEGISLOG.BO,9/2/2024,790,780.61,735.05
AEGISLOG.BO,10/15/2024,790,686.20,670.05
AEGISCHEM.NS,5/10/2024,884,585.26,573.15
AEGISCHEM.NS,5/31/2024,884,692.22,681.75
AEGISCHEM.NS,7/15/2024,884,836.50,822.00
AEGISCHEM.NS,7/24/2024,884,846.25,811.00
AEL.BO,8/16/2024,195,201.54,198.10
AEL.BO,10/10/2024,195,197.89,173.00
AFEL.BO,8/13/2024,19,13.47,12.46
AFEL.BO,8/14/2024,19,13.73,12.46
AFEL.BO,8/16/2024,19,14.00,12.46
AFEL.BO,8/19/2024,19,14.27,12.46
AFEL.BO,8/20/2024,19,14.56,12.46
AFEL.BO,8/21/2024,19,14.85,12.46
AFEL.BO,8/22/2024,19,15.14,12.46
AFEL.BO,8/23/2024,19,15.43,12.46
AFEL.BO,8/26/2024,19,15.73,12.46
AFEL.BO,9/11/2024,19,13.00,12.87
AFEL.BO,10/11/2024,19,18.13,17.95
AGIIL.BO,8/21/2024,1066,955.00,723.80
AGIIL.BO,9/18/2024,1066,933.84,895.00
AGIIL.BO,10/14/2024,1066,948.41,913.75
AGIIL.BO,10/23/2024,1066,906.58,885.00
AFFLE.NS,8/16/2024,1509,1526.51,1467.00
AFFLE.NS,10/9/2024,1509,1541.99,1470.05
AGIOPAPER.BO,8/26/2024,8,4.45,4.35
AGIOPAPER.BO,9/5/2024,8,4.36,4.25
AGROPHOS.NS,8/19/2024,45,44.33,42.00
AGROPHOS.NS,9/23/2024,45,43.15,41.91
AGROPHOS.NS,10/18/2024,45,43.24,40.50
AGROPHOS.NS,10/21/2024,45,46.22,40.50
AGROPHOS.NS,10/23/2024,45,42.97,40.50
AGROPHOS.NS,10/29/2024,45,42.63,41.80
AGRITECH.NS,8/19/2024,200,213.51,206.00
AGRITECH.NS,9/27/2024,200,216.32,210.15
AGRITECH.NS,9/30/2024,200,221.95,210.15
AGRITECH.NS,10/1/2024,200,218.21,210.15
AGRITECH.NS,10/3/2024,200,214.26,210.15
AGRITECH.NS,10/4/2024,200,215.78,210.15
AGRITECH.NS,10/8/2024,200,209.17,201.00
AHLADA.NS,8/22/2024,99,105.75,97.51
AHLADA.NS,10/8/2024,99,100.39,98.27
AHLUCONT.NS,8/16/2024,1028,1272.34,1196.00
AHLUCONT.NS,9/20/2024,1028,1162.72,1140.00
