Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2024-11-27,BB_DC,Long,IMPAL.NS,1188.0,1088.1,10.01,10.01,,,,,KRBPT,1188.0,2024-11-27,
2024-11-27,BB_W,Short,INDCTST.BO,63.0,62.0,1000.0,1000.0,70.45,Target Hit,,,KRBPT,63.0,2024-11-27,70.45
2024-11-27,BB_DC,Long,INDIAGLYCO.NS,1214.6,1090.8,8.08,8.08,,,,,KRBPT,1214.6,2024-11-27,
2024-11-27,BB_DC,Long,INDIAHOME.BO,33.4,28.05,186.92,186.92,,,,,KRBPT,33.4,2024-11-27,
2024-11-27,EW_DC,Short,INDIAMART.NS,2366.0,2234.15,7.58,7.58,3077.51,Target Hit,,,KRBPT,2365.95,2024-11-27,3077.51
2024-11-27,EW_DC,Short,INDOCITY.BO,14.0,13.0,1000.0,1000.0,15.58,Target Hit,,,KRBPT,14.1,2024-11-27,15.58
2024-11-27,BB_DC,Short,INDORAMA.NS,41.5,37.71,263.85,263.85,43.55,Target Hit,,,KRBPT,41.5,2024-11-27,43.55
2024-11-27,LR_UC,Short,INDRAMEDCO.NS,436.4,402.0,29.07,29.07,483.51,Target Hit,,,KRBPT,436.4,2024-11-27,483.51
2024-11-27,EWBB_W,Short,INFOMEDIA.NS,6.0,5.69,3225.81,3225.81,9.1,Target Hit,,,KRBPT,6.03,2024-11-27,9.1
2024-11-27,EW_UC,Short,INFRONICS.BO,52.0,42.65,106.95,106.95,,,,,KRBPT,52.45,2024-11-27,51.74
2024-11-27,ATRLR_BW,Short,ISGEC.BO,1400.0,1224.4,5.69,5.69,,,,,KRBPT,1400.0,2024-11-27,1371.48
2024-11-27,EW_UC,Short,ISHANCH.BO,56.0,52.1,256.41,256.41,56.06,Target Hit,,,KRBPT,55.6,2024-11-27,56.06
2024-11-27,BB_DC,Long,ITDC.NS,640.0,499.9,7.14,7.14,,,,,KRBPT,640.0,2024-11-27,
2024-11-27,ATRBB_BW,Long,IWP.BO,43.8,29.0,67.57,67.57,,,,,KRBPT,43.8,2024-11-27,
2024-11-27,BB_UC,Long,IZMO.NS,487.5,363.25,8.05,8.05,,,,,KRBPT,487.5,2024-11-27,
2024-11-27,ATR_DC,Long,JAICORPLTD.NS,367.5,288.1,12.59,12.59,,,,,KRBPT,367.5,2024-11-27,
2024-11-27,BB_DC,Long,JAMNAAUTO.NS,104.1,96.51,131.75,131.75,,,,,KRBPT,104.1,2024-11-27,
2024-11-27,BB_DC,Long,JBMA.NS,1537.85,1388.0,6.67,6.67,,,,,KRBPT,1537.85,2024-11-27,
2024-11-27,EW_DC,Short,JHS.NS,22.0,20.53,680.27,680.27,26.38,Target Hit,,,KRBPT,21.81,2024-11-27,26.38
2024-11-27,BB_DC,Long,JISLJALEQS.NS,72.63,62.65,100.2,100.2,,,,,KRBPT,72.63,2024-11-27,
2024-11-27,EWBB_W,Short,JPPOWER.NS,17.0,16.08,1086.96,1086.96,23.3,Target Hit,,,KRBPT,17.29,2024-11-27,23.3
2024-11-27,EW_DC,Short,JTAPARIA.BO,24.0,21.5,400.0,400.0,26.97,Target Hit,,,KRBPT,23.6,2024-11-27,26.97
2024-11-27,BB_DC,Short,JYOTHYLAB.NS,407.85,394.7,76.05,76.05,531.63,Target Hit,,,KRBPT,407.85,2024-11-27,531.63
2024-11-27,EW_BW,Short,JYOTISTRUC.NS,30.0,28.06,515.46,515.46,39.57,Target Hit,,,KRBPT,29.87,2024-11-27,39.57
2024-11-27,BB_DC,Long,KAIRA.BO,1958.0,1820.0,7.25,7.25,,,,,KRBPT,1958.0,2024-11-27,
2024-11-27,EW_DC,Short,KAMAHOLD.BO,2555.0,2510.1,22.27,22.27,2584.24,Target Hit,,,KRBPT,2555.0,2024-11-27,2584.24
2024-11-27,EW_DC,Short,KAMDHENU.NS,493.0,457.1,27.86,27.86,535.74,Target Hit,,,KRBPT,492.55,2024-11-27,535.74
2024-11-27,BB_W,Long,KANCOTEA.BO,91.88,84.22,130.55,130.55,,,,,KRBPT,91.88,2024-11-27,
2024-11-27,BB_DC,Short,KAYA.NS,348.0,333.0,66.67,66.67,451.33,Target Hit,,,KRBPT,348.0,2024-11-27,451.33
2024-11-27,BB_W,Long,KCP.NS,242.1,210.01,31.16,31.16,,,,,KRBPT,242.1,2024-11-27,
2024-11-27,ATR_BW,Long,KCPSUGIND.NS,47.08,41.4,176.06,176.06,,,,,KRBPT,47.08,2024-11-27,
2024-11-27,BB_W,Long,KDDL.NS,2831.0,2608.15,4.49,4.49,,,,,KRBPT,2831.0,2024-11-27,
2024-11-27,ATR_DC,Long,KEI.NS,4322.45,3705.0,1.62,1.62,,,,,KRBPT,4322.45,2024-11-27,
2024-11-27,EW_DC,Short,KESARENT.BO,130.0,115.0,66.67,66.67,158.0,Target Hit,,,KRBPT,129.8,2024-11-27,158.0
2024-11-27,EWBB_DC,Short,KHADIM.NS,386.0,359.0,37.04,37.04,408.65,Target Hit,,,KRBPT,386.45,2024-11-27,408.65
2024-11-27,BB_DC,Short,KIRLFER.BO,596.95,576.0,47.73,47.73,707.5,Target Hit,,,KRBPT,596.95,2024-11-27,707.5
2024-11-27,ATR_UC,Long,KIRLOSBROS.NS,2360.0,1924.0,2.29,2.29,,,,,KRBPT,2360.0,2024-11-27,
2024-11-27,BB_UC,Long,KMFBLDR.BO,8.93,6.8,469.48,469.48,,,,,KRBPT,8.93,2024-11-27,
2024-11-27,BB_DC,Long,KMSUGAR.NS,33.75,31.0,363.64,363.64,,,,,KRBPT,33.75,2024-11-27,
2024-11-27,BB_DC,Long,KOPRAN.NS,223.9,198.0,38.61,38.61,,,,,KRBPT,223.9,2024-11-27,
2024-11-27,EWBB_DC,Short,KSOLVES.NS,1011.0,944.05,14.94,14.94,1082.9,Target Hit,,,KRBPT,1011.0,2024-11-27,1082.9
2024-11-27,BB_DT,Long,KUNSTOFF.BO,33.65,31.0,377.36,377.36,,,,,KRBPT,33.65,2024-11-27,
2024-11-27,ATR_BW,Long,LAMBODHARA.NS,178.5,128.48,19.99,19.99,,,,,KRBPT,178.5,2024-11-27,
2024-11-27,BB_UC,Long,LIBORDFIN.BO,25.88,19.2,149.7,149.7,,,,,KRBPT,25.88,2024-11-27,
2024-11-27,EW_BW,Short,LIPPISYS.BO,19.0,17.62,724.64,724.64,32.97,Target Hit,,,KRBPT,19.46,2024-11-27,32.97
2024-11-27,BB_DT,Short,LKPSEC.BO,23.4,22.5,1111.11,1111.11,27.27,Target Hit,,,KRBPT,23.4,2024-11-27,27.27
2024-11-27,LR_DC,Long,LOTUSCHO.BO,1405.0,1245.85,6.28,6.28,,,,,KRBPT,1405.0,2024-11-27,
2024-11-27,EW_DC,Short,LOYALTEX.BO,314.0,290.8,43.1,43.1,542.45,Target Hit,,,KRBPT,313.8,2024-11-27,542.45
2024-11-27,LR_W,Long,LUMAXTECH.NS,520.2,480.0,24.88,24.88,,,,,KRBPT,520.2,2024-11-27,
2024-11-27,EW_DC,Long,M&MFIN.NS,273.0,254.3,53.48,53.48,,,,,KRBPT,272.8,2024-11-27,
2024-11-27,EW_DC,Short,MAANALU.NS,144.0,136.25,129.03,129.03,150.05,Target Hit,,,KRBPT,144.15,2024-11-27,150.05
2024-11-27,ATRBB_W,Long,MACPOWER.NS,1447.85,1228.95,4.57,4.57,,,,,KRBPT,1447.85,2024-11-27,
2024-11-27,ATRBBLR_DC,Short,MAFATIND.BO,162.75,137.15,39.06,39.06,163.56,Target Hit,,,KRBPT,162.75,2024-11-27,163.56
2024-11-27,LR_DC,Long,MAGADSUGAR.NS,720.9,630.0,11.0,11.0,,,,,KRBPT,720.9,2024-11-27,
2024-11-27,ATR_DC,Long,MARICO.NS,651.05,579.6,14.0,14.0,,,,,KRBPT,651.05,2024-11-27,
2024-11-27,BB_UC,Long,MARINE.NS,253.3,216.62,27.26,27.26,,,,,KRBPT,253.3,2024-11-27,
2024-11-27,BB_DC,Short,MAXIMUS.BO,15.49,15.24,4000.0,4000.0,26.47,Target Hit,,,KRBPT,15.49,2024-11-27,26.47
2024-11-27,ATR_DC,Long,MAZDOCK.NS,4486.7,3851.2,1.57,1.57,,,,,KRBPT,4486.7,2024-11-27,
2024-11-27,BB_DC,Short,MEDICO.BO,46.18,43.01,315.46,315.46,60.36,Target Hit,,,KRBPT,46.18,2024-11-27,60.36
2024-11-27,BB_DC,Long,MEHIF.BO,33.33,29.02,232.02,232.02,,,,,KRBPT,33.33,2024-11-27,
2024-11-27,EWBB_DC,Short,MENNPIS.BO,74.0,69.0,200.0,200.0,84.08,Target Hit,,,KRBPT,74.41,2024-11-27,84.08
2024-11-27,EWBB_DC,Short,MERCURYLAB.BO,960.0,905.35,18.3,18.3,977.03,Target Hit,,,KRBPT,959.5,2024-11-27,977.03
2024-11-27,BB_W,Short,MHRIL.NS,362.95,347.0,62.7,62.7,382.38,Target Hit,,,KRBPT,362.95,2024-11-27,382.38
2024-11-27,BB_W,Long,MIDHANI.NS,336.6,304.8,31.45,31.45,,,,,KRBPT,336.6,2024-11-27,
2024-11-27,ATRBB_W,Long,MINOLTAF.BO,9.68,8.54,877.19,877.19,,,,,KRBPT,9.68,2024-11-27,
2024-11-27,EWBB_DC,Short,MMFL.NS,509.0,429.4,12.56,12.56,613.15,Target Hit,,,KRBPT,508.9,2024-11-27,613.15
2024-11-27,EW_UC,Short,MNIL.BO,21.0,19.77,813.01,813.01,22.01,Target Hit,,,KRBPT,20.8,2024-11-27,22.01
2024-11-27,ATR_W,Long,MODAIRY.BO,64.64,53.1,86.66,86.66,,,,,KRBPT,64.64,2024-11-27,
2024-11-27,BB_UC,Long,MODINATUR.BO,480.0,433.0,21.28,21.28,,,,,KRBPT,480.0,2024-11-27,
2024-11-27,BB_DC,Long,MOIL.NS,317.55,280.7,27.14,27.14,,,,,KRBPT,317.55,2024-11-27,
2024-11-27,EW_BW,Long,MONGIPA.BO,54.0,49.75,235.29,235.29,,,,,KRBPT,54.33,2024-11-27,
2024-11-27,BB_DC,Long,MSPL.NS,44.8,38.45,157.48,157.48,,,,,KRBPT,44.8,2024-11-27,
2024-11-27,EW_BW,Short,MUNOTHFI.BO,59.0,56.57,411.52,411.52,64.68,Target Hit,,,KRBPT,59.46,2024-11-27,64.68
2024-11-27,BB_DT,Short,MURUDCERA.NS,49.44,46.16,304.88,304.88,52.17,Target Hit,,,KRBPT,49.44,2024-11-27,52.17
2024-11-27,EW_DC,Short,MYSTICELE.BO,6.0,5.35,1538.46,1538.46,6.25,Target Hit,,,KRBPT,6.13,2024-11-27,6.25
2024-11-27,ATRBB_W,Long,NAHARCAP.NS,370.2,301.0,14.45,14.45,,,,,KRBPT,370.2,2024-11-27,
2024-11-27,ATRBBLR_DC,Short,NAHARINDUS.NS,139.34,125.05,69.98,69.98,145.09,Target Hit,,,KRBPT,139.34,2024-11-27,145.09
2024-11-27,LR_DC,Long,NARBADA.BO,66.0,55.15,92.17,92.17,,,,,KRBPT,66.0,2024-11-27,
2024-11-27,ATRLR_DC,Long,NDRAUTO.NS,734.6,626.05,9.21,9.21,,,,,KRBPT,734.6,2024-11-27,
2024-11-27,EWBB_DC,Short,NDTV.NS,180.0,143.6,27.47,27.47,184.44,Target Hit,,,KRBPT,179.67,2024-11-27,184.44
2024-11-27,EW_DC,Short,NEIL.BO,13.0,12.03,1030.93,1030.93,14.65,Target Hit,,,KRBPT,13.42,2024-11-27,14.65
2024-11-27,BB_DC,Long,NHPC.NS,82.97,76.41,152.44,152.44,,,,,KRBPT,82.97,2024-11-27,
2024-11-27,EW_DC,Short,NICCOPAR.BO,134.0,123.3,93.46,93.46,144.4,Target Hit,,,KRBPT,134.0,2024-11-27,144.4
2024-11-27,ATR_BW,Short,NILAINFRA.NS,12.3,10.35,512.82,512.82,12.91,Target Hit,,,KRBPT,12.3,2024-11-27,12.91
