Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-11-27,HBLPOWER.NS,ATR_DC,2024-11-14,514.05,616.45,,Long,Open,616.45,2024-11-27,9.77,,,India
2024-11-27,HCC.NS,ATRBB_DC,2024-11-22,34.52,41.04,,Long,Open,41.04,2024-11-27,153.37,,,India
2024-11-27,HCG.NS,ATR_UC,2024-10-24,404.8,497.55,,Long,Open,497.55,2024-11-27,10.78,,,India
2024-11-27,HFCL.NS,LR_W,2024-11-14,120.02,133.48,,Long,Open,133.48,2024-11-27,74.29,,,India
2024-11-27,HGS.NS,EW_DC,2024-11-27,592.95,703.0,,Long,Open,702.95,2024-11-27,9.09,,,India
2024-11-27,HINDCOMPOS.NS,LR_DC,2024-11-22,427.0,471.1,,Long,Open,471.1,2024-11-27,22.68,,,India
2024-11-27,HINDHARD.BO,BB_W,2024-11-18,887.0,1046.7,,Long,Open,1046.7,2024-11-27,6.26,,,India
2024-11-27,HINDTIN.BO,BB_W,2024-11-26,157.6,189.0,,Long,Open,189.0,2024-11-27,31.85,,,India
2024-11-27,HIRECT.NS,BB_W,2024-11-18,1070.0,1208.0,,Long,Open,1208.0,2024-11-27,7.25,,,India
2024-11-27,HOVS.NS,BB_DC,2024-11-22,62.08,69.5,,Long,Open,69.5,2024-11-27,134.77,,,India
2024-11-27,HRYNSHP.BO,BB_DC,2024-11-25,113.0,136.2,,Long,Open,136.2,2024-11-27,43.1,,,India
2024-11-27,HSCL.NS,ATR_DC,2024-11-22,472.0,532.0,,Long,Open,532.0,2024-11-27,16.67,,,India
2024-11-27,IDM.BO,EW_BW,2024-11-27,21.51,23.0,,Long,Open,22.59,2024-11-27,671.14,,,India
2024-11-27,IFINSEC.BO,EW_UC,2024-11-27,144.6,155.0,,Long,Open,155.0,2024-11-27,96.15,,,India
2024-11-27,IL&FSTRANS.NS,BB_DC,2024-11-25,4.95,5.63,,Long,Open,5.63,2024-11-27,1470.59,,,India
2024-11-27,IMPAL.NS,BB_DC,2024-11-25,1088.1,1188.0,,Long,Open,1188.0,2024-11-27,10.01,,,India
2024-11-27,INDCTST.BO,BB_W,2024-11-08,62.0,63.0,70.45,Short,Closed,63.0,2024-11-27,1000.0,Target Hit,70.45,India
2024-11-27,INDIAGLYCO.NS,BB_DC,2024-11-14,1090.8,1214.6,,Long,Open,1214.6,2024-11-27,8.08,,,India
2024-11-27,INDIAHOME.BO,BB_DC,2000-01-01,28.05,33.4,,,,33.4,2024-11-27,186.92,,,India
2024-11-27,INDIAMART.NS,EW_DC,2024-11-27,2234.15,2366.0,,Long,Open,2365.95,2024-11-27,7.58,,,India
2024-11-27,INDOCITY.BO,EW_DC,2024-11-27,13.0,14.0,,Long,Open,14.1,2024-11-27,1000.0,,,India
2024-11-27,INDORAMA.NS,BB_DC,2024-11-22,37.71,41.5,,Long,Open,41.5,2024-11-27,263.85,,,India
2024-11-27,INDRAMEDCO.NS,LR_UC,2024-11-21,402.0,436.4,,Long,Open,436.4,2024-11-27,29.07,,,India
2024-11-27,INFOMEDIA.NS,EWBB_W,2024-11-27,5.69,6.0,,Long,Open,6.03,2024-11-27,3225.81,,,India
2024-11-27,INFRONICS.BO,EW_UC,2024-11-27,42.65,52.0,,Long,Open,52.45,2024-11-27,106.95,,,India
2024-11-27,ISGEC.BO,ATRLR_BW,2024-11-18,1224.4,1400.0,,Long,Open,1400.0,2024-11-27,5.69,,,India
2024-11-27,ISHANCH.BO,EW_UC,2024-11-27,52.1,56.0,,Long,Open,55.6,2024-11-27,256.41,,,India
2024-11-27,ITDC.NS,BB_DC,2024-11-22,499.9,640.0,,Long,Open,640.0,2024-11-27,7.14,,,India
2024-11-27,IWP.BO,ATRBB_BW,2024-11-18,29.0,43.8,,Long,Open,43.8,2024-11-27,67.57,,,India
2024-11-27,IZMO.NS,BB_UC,2024-11-25,363.25,487.5,,Long,Open,487.5,2024-11-27,8.05,,,India
2024-11-27,JAICORPLTD.NS,ATR_DC,2024-11-22,288.1,367.5,,Long,Open,367.5,2024-11-27,12.59,,,India
2024-11-27,JAMNAAUTO.NS,BB_DC,2024-11-26,96.51,104.1,,Long,Open,104.1,2024-11-27,131.75,,,India
2024-11-27,JBMA.NS,BB_DC,2024-11-22,1388.0,1537.85,,Long,Open,1537.85,2024-11-27,6.67,,,India
2024-11-27,JHS.NS,EW_DC,2024-11-27,20.53,22.0,,Long,Open,21.81,2024-11-27,680.27,,,India
2024-11-27,JISLJALEQS.NS,BB_DC,2024-11-22,62.65,72.63,,Long,Open,72.63,2024-11-27,100.2,,,India
2024-11-27,JPPOWER.NS,EWBB_W,2024-11-27,16.08,17.0,,Long,Open,17.29,2024-11-27,1086.96,,,India
2024-11-27,JTAPARIA.BO,EW_DC,2024-11-27,21.5,24.0,,Long,Open,23.6,2024-11-27,400.0,,,India
2024-11-27,JYOTHYLAB.NS,BB_DC,2024-11-01,394.7,407.85,531.63,Short,Closed,407.85,2024-11-27,76.05,Target Hit,531.63,India
2024-11-27,JYOTISTRUC.NS,EW_BW,2024-11-27,28.06,30.0,,Long,Open,29.87,2024-11-27,515.46,,,India
2024-11-27,KAIRA.BO,BB_DC,2024-11-26,1820.0,1958.0,,Long,Open,1958.0,2024-11-27,7.25,,,India
2024-11-27,KAMAHOLD.BO,EW_DC,2024-11-27,2510.1,2555.0,,Long,Open,2555.0,2024-11-27,22.27,,,India
2024-11-27,KAMDHENU.NS,EW_DC,2024-11-27,457.1,493.0,,Long,Open,492.55,2024-11-27,27.86,,,India
2024-11-27,KANCOTEA.BO,BB_W,2024-11-19,84.22,91.88,,Long,Open,91.88,2024-11-27,130.55,,,India
2024-11-27,KAYA.NS,BB_DC,2024-10-21,333.0,348.0,451.33,Short,Closed,348.0,2024-11-27,66.67,Target Hit,451.33,India
2024-11-27,KCP.NS,BB_W,2024-11-13,210.01,242.1,,Long,Open,242.1,2024-11-27,31.16,,,India
2024-11-27,KCPSUGIND.NS,ATR_BW,2024-11-26,41.4,47.08,,Long,Open,47.08,2024-11-27,176.06,,,India
2024-11-27,KDDL.NS,BB_W,2024-11-26,2608.15,2831.0,,Long,Open,2831.0,2024-11-27,4.49,,,India
2024-11-27,KEI.NS,ATR_DC,2024-11-22,3705.0,4322.45,,Long,Open,4322.45,2024-11-27,1.62,,,India
2024-11-27,KESARENT.BO,EW_DC,2024-11-27,115.0,130.0,,Long,Open,129.8,2024-11-27,66.67,,,India
2024-11-27,KHADIM.NS,EWBB_DC,2024-11-27,359.0,386.0,,Long,Open,386.45,2024-11-27,37.04,,,India
2024-11-27,KIRLFER.BO,BB_DC,2024-09-24,576.0,596.95,707.5,Short,Closed,596.95,2024-11-27,47.73,Target Hit,707.5,India
2024-11-27,KIRLOSBROS.NS,ATR_UC,2024-11-14,1924.0,2360.0,,Long,Open,2360.0,2024-11-27,2.29,,,India
2024-11-27,KMFBLDR.BO,BB_UC,2024-11-22,6.8,8.93,,Long,Open,8.93,2024-11-27,469.48,,,India
2024-11-27,KMSUGAR.NS,BB_DC,2024-11-22,31.0,33.75,,Long,Open,33.75,2024-11-27,363.64,,,India
2024-11-27,KOPRAN.NS,BB_DC,2024-11-22,198.0,223.9,,Long,Open,223.9,2024-11-27,38.61,,,India
2024-11-27,KSOLVES.NS,EWBB_DC,2024-11-27,944.05,1011.0,,Long,Open,1011.0,2024-11-27,14.94,,,India
2024-11-27,KUNSTOFF.BO,BB_DT,2024-11-14,31.0,33.65,,Long,Open,33.65,2024-11-27,377.36,,,India
2024-11-27,LAMBODHARA.NS,ATR_BW,2024-11-18,128.48,178.5,,Long,Open,178.5,2024-11-27,19.99,,,India
2024-11-27,LIBORDFIN.BO,BB_UC,2024-11-07,19.2,25.88,,Long,Open,25.88,2024-11-27,149.7,,,India
2024-11-27,LIPPISYS.BO,EW_BW,2024-11-27,17.62,19.0,,Long,Open,19.46,2024-11-27,724.64,,,India
2024-11-27,LKPSEC.BO,BB_DT,2024-11-06,22.5,23.4,27.27,Short,Closed,23.4,2024-11-27,1111.11,Target Hit,27.27,India
2024-11-27,LOTUSCHO.BO,LR_DC,2024-11-25,1245.85,1405.0,,Long,Open,1405.0,2024-11-27,6.28,,,India
2024-11-27,LOYALTEX.BO,EW_DC,2024-11-27,290.8,314.0,,Long,Open,313.8,2024-11-27,43.1,,,India
2024-11-27,LUMAXTECH.NS,LR_W,2024-11-22,480.0,520.2,,Long,Open,520.2,2024-11-27,24.88,,,India
2024-11-27,M&MFIN.NS,EW_DC,2024-11-27,254.3,273.0,,Long,Open,272.8,2024-11-27,53.48,,,India
2024-11-27,MAANALU.NS,EW_DC,2024-11-27,136.25,144.0,,Long,Open,144.15,2024-11-27,129.03,,,India
2024-11-27,MACPOWER.NS,ATRBB_W,2024-11-25,1228.95,1447.85,,Long,Open,1447.85,2024-11-27,4.57,,,India
2024-11-27,MAFATIND.BO,ATRBBLR_DC,2024-11-26,137.15,162.75,,Long,Open,162.75,2024-11-27,39.06,,,India
2024-11-27,MAGADSUGAR.NS,LR_DC,2024-11-22,630.0,720.9,,Long,Open,720.9,2024-11-27,11.0,,,India
2024-11-27,MARICO.NS,ATR_DC,2024-11-26,579.6,651.05,,Long,Open,651.05,2024-11-27,14.0,,,India
2024-11-27,MARINE.NS,BB_UC,2024-11-19,216.62,253.3,,Long,Open,253.3,2024-11-27,27.26,,,India
2024-11-27,MAXIMUS.BO,BB_DC,2024-11-14,15.24,15.49,26.47,Short,Closed,15.49,2024-11-27,4000.0,Target Hit,26.47,India
2024-11-27,MAZDOCK.NS,ATR_DC,2024-11-18,3851.2,4486.7,,Long,Open,4486.7,2024-11-27,1.57,,,India
2024-11-27,MEDICO.BO,BB_DC,2024-11-11,43.01,46.18,60.36,Short,Closed,46.18,2024-11-27,315.46,Target Hit,60.36,India
2024-11-27,MEHIF.BO,BB_DC,2024-11-25,29.02,33.33,,Long,Open,33.33,2024-11-27,232.02,,,India
2024-11-27,MENNPIS.BO,EWBB_DC,2024-11-27,69.0,74.0,,Long,Open,74.41,2024-11-27,200.0,,,India
2024-11-27,MERCURYLAB.BO,EWBB_DC,2024-11-27,905.35,960.0,,Long,Open,959.5,2024-11-27,18.3,,,India
2024-11-27,MHRIL.NS,BB_W,2024-11-01,347.0,362.95,382.38,Short,Closed,362.95,2024-11-27,62.7,Target Hit,382.38,India
2024-11-27,MIDHANI.NS,BB_W,2024-11-14,304.8,336.6,,Long,Open,336.6,2024-11-27,31.45,,,India
2024-11-27,MINOLTAF.BO,ATRBB_W,2024-11-26,8.54,9.68,,Long,Open,9.68,2024-11-27,877.19,,,India
2024-11-27,MMFL.NS,EWBB_DC,2024-11-27,429.4,509.0,,Long,Open,508.9,2024-11-27,12.56,,,India
2024-11-27,MNIL.BO,EW_UC,2024-11-27,19.77,21.0,,Long,Open,20.8,2024-11-27,813.01,,,India
2024-11-27,MODAIRY.BO,ATR_W,2024-11-25,53.1,64.64,,Long,Open,64.64,2024-11-27,86.66,,,India
2024-11-27,MODINATUR.BO,BB_UC,2024-11-18,433.0,480.0,,Long,Open,480.0,2024-11-27,21.28,,,India
2024-11-27,MOIL.NS,BB_DC,2024-11-22,280.7,317.55,,Long,Open,317.55,2024-11-27,27.14,,,India
2024-11-27,MONGIPA.BO,EW_BW,2024-11-27,49.75,54.0,,Long,Open,54.33,2024-11-27,235.29,,,India
2024-11-27,MSPL.NS,BB_DC,2024-11-18,38.45,44.8,,Long,Open,44.8,2024-11-27,157.48,,,India
2024-11-27,MUNOTHFI.BO,EW_BW,2024-11-27,56.57,59.0,,Long,Open,59.46,2024-11-27,411.52,,,India
2024-11-27,MURUDCERA.NS,BB_DT,2024-11-22,46.16,49.44,,Long,Open,49.44,2024-11-27,304.88,,,India
2024-11-27,MYSTICELE.BO,EW_DC,2024-11-27,5.35,6.0,,Long,Open,6.13,2024-11-27,1538.46,,,India
