Ticker,Last Alert Date,Close,Stop Loss,Buy Price,Target,Short_SL,Call,Status
ACROW.BO,2024-10-08,760,601.0,760.9,,800.0,Long,Open
ADANIENT.NS,2024-10-01,3154,2955.2,,3170.75,3209.9,Short,Close
ADANIGREEN.NS,2024-09-24,1784,1680.0,,2065.66,2079.65,Short,Close
ADANIPORTS.NS,2024-08-01,1408,754.5,,1595.84,1604.95,Short,Close
ADANIPOWER.NS,2024-09-24,634,646.5,,675.17,678.0,Short,Close
ADARSHPL.BO,2024-10-08,31,30.35,29.9,,33.51,Long,Open
ADCINDIA.BO,2024-10-08,1915,1850.0,1763.91,,2040.0,Long,Open
ADCON.BO,2024-09-27,1,0.77,,1.07,1.17,Short,Close
ADDIND.BO,2024-09-20,40,46.02,,51.83,52.95,Short,Close
ADFFOODS.NS,2024-10-07,318,209.11,268.21,,302.95,Long,Open
ADIEXRE.BO,2024-10-03,25,19.5,,27.24,27.9,Short,Close
ADINATH.BO,2024-10-01,29,24.0,,31.01,31.5,Short,Close
ADITYA.BO,2024-09-27,10,9.51,,10.46,12.46,Short,Close
ADITYASP.BO,2024-10-04,27,17.35,,27.53,29.55,Short,Close
ADL.NS,2024-09-12,102,76.4,137.9,,146.6,Long,Open
ADMANUM.BO,2024-09-26,109,66.7,,135.7,137.93,Short,Close
ADORFO.BO,2024-09-10,143,120.6,133.05,,144.8,Long,Open
ADORMUL.BO,2024-09-25,37,30.4,,42.38,43.5,Short,Close
ADORWELD.NS,2024-10-08,1361,1269.8,1324.99,,1399.95,Long,Open
ADROITINFO.NS,2024-10-08,22,17.25,18.11,,21.13,Long,Open
ADSL.NS,2024-10-08,287,255.9,252.23,,288.9,Long,Open
ADVAIT.BO,2024-09-25,1768,1777.0,,1894.56,1918.25,Short,Close
ADVANIHOTR.NS,2024-09-23,73,66.0,74.34,,79.8,Long,Open
ADVENZYMES.NS,2024-09-16,490,334.05,,562.5,571.0,Short,Close
ADVIKCA.BO,2024-10-07,3,2.46,2.78,,3.02,Long,Open
