Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
RASSIREF.BO,2024-09-23,27,7.42,,27.39,28.05,Short,Close
RATHIBAR.BO,2024-09-26,50,42.0,45.53,,54.4,Long,Open
RATNABHUMI.BO,2024-08-30,154,116.45,,168.43,168.5,Short,Close
RATNAMANI.NS,2024-09-12,3682,2581.5,,3856.2,3891.95,Short,Close
RAUNAQEPC.BO,2024-09-20,48,37.41,,50.82,50.82,Short,Close
RAVALSUGAR.BO,2024-09-05,1856,897.0,,2181.56,2405.0,Short,Close
RAYALEMA.BO,2024-09-02,41,35.18,,46.9,47.69,Short,Close
RAYMOND.NS,2024-09-03,1742,1590.0,,2139.02,2182.0,Short,Close
RBA.NS,2024-09-18,110,91.5,106.01,,109.0,Long,Open
RBL.NS,2024-09-05,1189,642.95,,1298.15,1319.0,Short,Close
RBLBANK.NS,2024-08-27,203,220.5,,231.01,235.25,Short,Close
RCAN.BO,2024-09-25,628,129.0,,701.4,705.0,Short,Close
RCCL.BO,2024-09-23,36,34.7,,41.0,42.0,Short,Close
RCF.NS,2024-08-27,186,118.4,,205.72,207.89,Short,Close
RCIIND.BO,2024-08-26,7,4.67,4.72,,5.08,Long,Open
RCL.BO,2024-08-23,2,1.96,,2.58,2.65,Short,Close
RCOM.NS,2024-08-23,2,1.7,,2.45,2.45,Short,Close
RDBRIL.BO,2024-09-20,391,138.2,364.25,,425.3,Long,Open
RDBRL.BO,2024-09-16,165,132.1,,185.8,191.0,Short,Close
RECLTD.NS,2024-09-23,557,560.05,539.0,,635.4,Long,Open
REDINGTON.NS,2024-08-22,186,172.0,,209.06,210.25,Short,Close
REFEX.NS,2024-09-27,544,124.25,,565.77,580.7,Short,Close
REGENCY.BO,2024-09-02,27,10.4,14.65,,16.0,Long,Open
REGENTRP.BO,2024-09-16,6,3.65,,6.73,6.89,Short,Close
REGTRUS.BO,2024-09-24,4,3.47,4.13,,4.43,Long,Open
RELAXO.NS,2024-08-20,813,825.1,801.5,,888.2,Long,Open
RELCAPITAL.NS,2024-01-12,12,9.3,,15.2,15.2,Short,Close
RELCHEMQ.BO,2024-08-22,227,181.05,,238.91,261.0,Short,Close
RELIABVEN.BO,2024-09-10,23,19.5,,25.19,25.75,Short,Close
RELIANCE.NS,2024-08-16,2930,2220.3,2927.28,,2960.8,Long,Open
RELICAB.BO,2024-09-25,143,89.0,,154.59,156.0,Short,Close
RELICTEC.BO,2024-09-25,15,14.0,,15.65,15.8,Short,Close
RELIGARE.NS,2024-09-26,293,228.0,274.83,,283.0,Long,Open
RELINFRA.NS,2024-09-04,332,157.45,199.68,,247.3,Long,Open
RELTD.BO,2024-09-25,132,65.76,,158.29,162.15,Short,Close
REMIEDEL.BO,2024-09-17,82,79.9,,88.71,89.75,Short,Close
REMSONSIND.NS,2024-09-03,223,164.6,172.37,,190.0,Long,Open
RENUKA.NS,2024-09-16,54,36.55,47.61,,48.65,Long,Open
REPCOHOME.NS,2024-09-13,535,422.1,,582.5,595.0,Short,Close
REPL.NS,2024-09-26,205,169.0,205.51,,228.5,Long,Open
REPRO.NS,2024-08-27,594,665.55,,662.26,678.15,Short,Close
RESONANCE.BO,2024-09-12,100,92.18,,109.35,112.05,Short,Close
RESPONIND.NS,2024-09-17,274,271.35,,295.5,299.0,Short,Close
RESPONSINF.BO,2024-09-26,70,65.62,,73.96,75.95,Short,Close
RESTILE.BO,2024-09-25,9,2.79,,9.81,9.99,Short,Close
REXNORD.BO,2024-09-05,122,93.1,,134.39,136.35,Short,Close
RGL.NS,2024-10-01,135,87.4,125.0,,140.0,Long,Open
RGRL.BO,2024-10-01,10,8.52,9.44,,10.35,Long,Open
RHFL.NS,2024-09-27,5,2.91,,5.56,5.56,Short,Close
RIBATEX.BO,2024-10-01,81,74.0,76.41,,83.63,Long,Open
RICHAIND.BO,2024-09-25,2,1.2,,2.2,2.25,Short,Close
RICHUNV.BO,2024-07-12,10,9.0,,19.0,20.83,Short,Close
RICOAUTO.NS,2024-09-05,114,115.75,119.97,,125.9,Long,Open
RIDDHI.BO,2024-08-27,670,490.0,,733.75,761.0,Short,Close
RIDDHICORP.BO,2024-08-27,72,93.3,,88.84,89.79,Short,Close
RIIL.NS,2024-08-22,1246,1149.0,,1250.3,1261.0,Short,Close
RIR.BO,2024-10-01,4180,1691.9,3884.07,,4878.6,Long,Open
RISHDIGA.BO,2024-09-26,45,33.0,40.75,,45.9,Long,Open
RISHILASE.BO,2024-09-25,165,140.0,,172.65,172.65,Short,Close
RISHIROOP.BO,2024-09-05,199,166.6,178.5,,189.0,Long,Open
RISHITECH.BO,2024-09-13,58,45.37,,62.94,63.38,Short,Close
RITCO.BO,2024-08-30,317,190.3,324.69,,346.9,Long,Open
RITES.NS,2024-09-23,334,649.6,,372.47,384.0,Short,Close
RITESHIN.BO,2024-09-27,38,25.87,28.14,,32.13,Long,Open
RKDL.NS,2024-08-23,29,18.5,,35.16,35.21,Short,Close
RKEC.NS,2024-09-27,127,107.75,120.67,,133.0,Long,Open
RKFORGE.NS,2024-08-05,1012,696.15,846.11,,918.4,Long,Open
RLF.BO,2024-09-24,12,8.46,11.16,,12.07,Long,Open
RLFL.BO,2024-09-09,3,0.95,1.33,,1.52,Long,Open
RMC.BO,2024-09-17,876,591.65,923.59,,1028.0,Long,Open
RML.NS,2024-08-22,1151,631.0,,1484.25,1529.0,Short,Close
RNBDENIMS.BO,2024-08-14,76,38.05,70.85,,81.0,Long,Open
RODIUM.BO,2024-09-25,95,54.16,,98.69,109.9,Short,Close
ROHLTD.NS,2024-09-16,365,337.25,,378.35,384.3,Short,Close
ROLCOEN.BO,2024-09-24,911,,949.86,,1026.45,Long,Open
ROLLT.NS,2024-09-20,2,2.34,,2.49,2.49,Short,Close
ROLTA.NS,2024-08-30,4,2.4,,4.38,4.38,Short,Close
ROML.NS,2024-09-06,54,49.2,,58.85,60.69,Short,Close
ROOPAIND.BO,2024-09-11,76,50.25,,90.53,94.0,Short,Close
ROSELABS.BO,2024-09-27,31,25.45,28.0,,28.43,Long,Open
ROSSARI.NS,2024-09-10,906,658.2,882.9,,966.0,Long,Open
ROSSELLIND.NS,2024-09-19,119,546.35,570.24,,639.8,Long,Open
ROTO.BO,2024-08-28,561,300.45,,615.69,624.25,Short,Close
ROUTE.NS,2024-09-16,1579,1386.05,,1697.2,1707.0,Short,Close
ROYALCU.BO,2024-08-21,30,26.18,,35.44,35.45,Short,Close
ROYALIND.BO,2024-09-17,39,3.5,,46.2,46.2,Short,Close
RPEL.BO,2024-09-27,1110,,1055.69,,1258.0,Long,Open
RPGLIFE.NS,2024-09-20,2501,1381.0,2140.5,,2422.0,Long,Open
RPOWER.NS,2024-09-13,51,23.3,29.82,,32.25,Long,Open
RPPINFRA.NS,2024-09-05,191,97.4,,232.5,235.0,Short,Close
RPPL.NS,2024-10-01,41,35.99,38.25,,41.45,Long,Open
