Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
AARVI.NS,7/26/2024,149,148.95,127.72
AARVI.NS,8/7/2024,149,144.46,132.62
AARVI.NS,8/22/2024,149,158.66,134.01
AARVI.NS,9/5/2024,149,153.25,141.65
ACC.NS,9/13/2024,2340,2507.04,2286.70
ACCEL.BO,7/31/2024,23,25.09,21.65
ACCEL.BO,9/12/2024,23,28.87,22.57
ACCELYA.NS,7/26/2024,1699,1915.50,1750.00
ACCELYA.NS,10/1/2024,1699,1894.59,1731.60
ACCURACY.NS,8/5/2024,10,12.02,11.50
ACCURACY.NS,8/6/2024,10,12.29,11.50
ACCURACY.NS,8/7/2024,10,12.02,11.50
ACCURACY.NS,8/8/2024,10,11.91,11.50
ACCURACY.NS,8/9/2024,10,11.70,11.10
ACCURACY.NS,8/12/2024,10,11.43,11.05
ACCURACY.NS,8/13/2024,10,11.29,11.00
ACCURACY.NS,8/14/2024,10,11.13,10.60
ACCURACY.NS,8/16/2024,10,10.88,10.36
ACCURACY.NS,8/22/2024,10,12.92,10.36
ACCURACY.NS,9/30/2024,10,10.92,9.37
ACEINTEG.NS,7/30/2024,34,42.31,31.52
ACEINTEG.NS,8/1/2024,34,39.44,31.52
ACEINTEG.NS,8/2/2024,34,37.18,31.52
ACEINTEG.NS,8/5/2024,34,35.18,32.65
ACEINTEG.NS,8/6/2024,34,33.62,32.25
ACEINTEG.NS,8/7/2024,34,33.64,32.25
ACEINTEG.NS,8/8/2024,34,33.73,32.25
ACEINTEG.NS,8/9/2024,34,34.45,32.25
ACEINTEG.NS,8/12/2024,34,33.61,32.25
ACEINTEG.NS,8/13/2024,34,33.35,32.01
ACEINTEG.NS,8/14/2024,34,32.53,30.30
ACEINTEG.NS,8/16/2024,34,32.33,30.30
ACEINTEG.NS,9/18/2024,34,39.36,33.20
ACEINTEG.NS,9/25/2024,34,35.78,32.70
ACEINTEG.NS,9/26/2024,34,35.44,32.70
ACEINTEG.NS,9/27/2024,34,34.81,32.70
ACEMEN.BO,8/23/2024,73,82.50,40.50
ACEMEN.BO,10/3/2024,73,76.50,60.18
ACESOFT.BO,7/26/2024,379,347.60,230.50
ACESOFT.BO,8/13/2024,379,371.88,327.20
ACESOFT.BO,8/27/2024,379,340.40,304.50
ACESOFT.BO,8/28/2024,379,322.48,303.95
ACESOFT.BO,9/3/2024,379,346.63,303.70
ACESOFT.BO,9/16/2024,379,399.77,320.50
ACGL.BO,8/2/2024,2528,3361.74,2037.00
ACGL.BO,8/6/2024,2528,3228.71,2037.00
ACGL.BO,8/7/2024,2528,3235.40,2037.00
ACGL.BO,8/19/2024,2528,3016.00,2825.00
ACIIN.BO,7/31/2024,2,2.42,2.19
ACKNIT.BO,8/1/2024,315,325.52,270.60
ACKNIT.BO,8/23/2024,315,321.02,292.00
ACKNIT.BO,9/18/2024,315,353.79,298.55
ABCINDQ.BO,8/30/2024,131,161.25,102.00
ABHICAP.BO,8/1/2024,162,193.26,180.05
ABHICAP.BO,8/12/2024,162,192.05,166.75
ABHICAP.BO,8/13/2024,162,177.79,166.75
ABHICAP.BO,8/14/2024,162,192.45,166.75
ABHICAP.BO,8/16/2024,162,190.75,166.00
ABHICAP.BO,8/19/2024,162,186.59,166.00
ABHICAP.BO,8/21/2024,162,179.78,166.00
ABHICAP.BO,8/22/2024,162,175.27,166.00
ABHICAP.BO,8/23/2024,162,189.23,166.00
ABHICAP.BO,8/26/2024,162,182.94,169.40
ABHICAP.BO,8/27/2024,162,180.77,169.40
ABHICAP.BO,8/28/2024,162,177.99,169.40
ABHICAP.BO,8/29/2024,162,173.60,166.40
ABHICAP.BO,8/30/2024,162,176.49,166.40
ABHICAP.BO,9/2/2024,162,174.63,165.10
ABHICAP.BO,9/13/2024,162,184.50,168.00
ABHICAP.BO,9/23/2024,162,174.75,162.20
ACROW.BO,7/25/2024,760,733.75,630.15
ACROW.BO,8/27/2024,760,836.34,620.90
ACROW.BO,9/19/2024,760,788.50,707.00
ACROW.BO,10/3/2024,760,787.75,722.00
ADANIENT.NS,8/1/2024,3154,3231.43,2886.35
ADANIENT.NS,8/9/2024,3154,3207.24,2996.30
ADANIENT.NS,10/1/2024,3154,3170.75,2890.35
ADANIGREEN.NS,8/1/2024,1784,1900.84,1680.00
ADANIGREEN.NS,8/20/2024,1784,1925.03,1667.50
ADANIGREEN.NS,9/24/2024,1784,2065.66,1780.40
ACE.NS,7/30/2024,1355,1434.01,1335.00
ACE.NS,8/21/2024,1355,1325.15,1227.55
ACE.NS,9/24/2024,1355,1447.40,1225.05
ADANIPORTS.NS,7/23/2024,1408,1492.50,1419.00
ADANIPORTS.NS,7/24/2024,1408,1505.16,1419.00
ADANIPORTS.NS,7/25/2024,1408,1491.30,1419.00
ADANIPORTS.NS,7/26/2024,1408,1533.42,1419.00
ADANIPORTS.NS,7/29/2024,1408,1554.25,1419.00
ADANIPORTS.NS,7/30/2024,1408,1551.67,1419.00
ADANIPORTS.NS,7/31/2024,1408,1570.17,1419.00
ADANIPORTS.NS,8/1/2024,1408,1595.84,1419.00
ADARSHPL.BO,7/24/2024,31,35.89,30.28
ADARSHPL.BO,8/2/2024,31,32.28,29.27
ADARSHPL.BO,8/8/2024,31,30.51,29.58
ADARSHPL.BO,8/9/2024,31,30.34,28.12
ADARSHPL.BO,8/12/2024,31,32.63,28.12
ADARSHPL.BO,8/13/2024,31,33.47,28.12
ADARSHPL.BO,8/14/2024,31,35.22,28.12
ADARSHPL.BO,8/16/2024,31,34.90,28.12
ADARSHPL.BO,8/19/2024,31,35.85,28.12
ADARSHPL.BO,8/20/2024,31,37.09,28.12
ADARSHPL.BO,8/21/2024,31,36.15,28.12
ADARSHPL.BO,8/22/2024,31,36.05,28.12
ADARSHPL.BO,8/23/2024,31,36.76,28.12
ADARSHPL.BO,9/19/2024,31,34.66,31.00
ADARSHPL.BO,10/7/2024,31,32.71,30.33
ADANIPOWER.NS,8/1/2024,634,743.43,646.50
ADANIPOWER.NS,9/3/2024,634,668.26,628.05
ADANIPOWER.NS,9/4/2024,634,656.50,628.05
ADANIPOWER.NS,9/5/2024,634,652.18,628.05
ADANIPOWER.NS,9/6/2024,634,643.54,628.05
ADANIPOWER.NS,9/9/2024,634,639.00,621.00
ADANIPOWER.NS,9/10/2024,634,642.75,621.00
ADANIPOWER.NS,9/11/2024,634,636.20,621.00
ADANIPOWER.NS,9/24/2024,634,675.17,621.00
ADCINDIA.BO,8/13/2024,1915,2035.00,1803.80
ADCINDIA.BO,8/26/2024,1915,2250.26,1818.75
ADCINDIA.BO,9/4/2024,1915,2120.75,1950.00
ADCINDIA.BO,9/27/2024,1915,2010.50,1850.00
ADCON.BO,7/31/2024,1,0.83,0.80
ADCON.BO,8/13/2024,1,0.85,0.78
ADCON.BO,8/28/2024,1,0.96,0.77
ADCON.BO,9/3/2024,1,0.95,0.86
ADCON.BO,9/23/2024,1,1.12,0.86
ADCON.BO,9/27/2024,1,1.07,0.97
ADDIND.BO,7/29/2024,40,49.63,46.11
ADDIND.BO,9/20/2024,40,51.83,46.22
ADFFOODS.NS,7/30/2024,318,237.13,209.11
ADFFOODS.NS,9/4/2024,318,271.44,220.01
ADFFOODS.NS,9/12/2024,318,291.25,226.60
ADFFOODS.NS,9/18/2024,318,294.50,226.60
ADFFOODS.NS,9/19/2024,318,280.19,265.75
ADFFOODS.NS,9/20/2024,318,276.39,265.75
ADFFOODS.NS,9/23/2024,318,273.74,265.75
ADFFOODS.NS,9/24/2024,318,270.15,265.35
ADFFOODS.NS,9/25/2024,318,280.70,265.35
ADFFOODS.NS,9/26/2024,318,280.36,265.35
ADFFOODS.NS,9/27/2024,318,275.65,265.35
ADFFOODS.NS,9/30/2024,318,271.30,263.05
ADIEXRE.BO,7/31/2024,25,24.05,21.85
ADIEXRE.BO,9/13/2024,25,27.16,24.65
ADIEXRE.BO,9/20/2024,25,27.30,24.65
ADIEXRE.BO,10/3/2024,25,27.24,24.01
ADINATH.BO,8/9/2024,29,33.42,29.01
ADINATH.BO,8/26/2024,29,33.30,29.12
ADINATH.BO,10/1/2024,29,31.01,28.01
ADITYA.BO,7/23/2024,10,10.01,9.66
ADITYA.BO,8/1/2024,10,12.25,9.66
ADITYA.BO,9/16/2024,10,10.97,10.28
ADITYA.BO,9/17/2024,10,10.95,10.28
ADITYA.BO,9/18/2024,10,10.84,10.28
ADITYA.BO,9/19/2024,10,10.65,9.80
ADITYA.BO,9/20/2024,10,10.73,9.80
ADITYA.BO,9/23/2024,10,12.08,9.80
ADITYA.BO,9/24/2024,10,10.75,9.80
