Ticker,Date/Time,Buy
POKARNA.NS,12/2/2024,1
PQIF.BO,12/2/2024,1
PRESTIGE.NS,12/2/2024,1
PRIMEPRO.BO,11/29/2024,1
PRITI.NS,12/4/2024,1
PSB.NS,12/4/2024,1
PSUBNKBEES.BO,12/4/2024,1
RAGHUSYN.BO,11/29/2024,1
RAGHUSYN.BO,12/2/2024,1
RAGHUSYN.BO,12/3/2024,1
RAGHUSYN.BO,12/5/2024,1
RAINBOWF.BO,12/2/2024,1
RAJPALAYAM.BO,12/2/2024,1
RAJTUBE.BO,12/3/2024,1
RAMASTEEL.NS,12/2/2024,1
RAMCOCEM.NS,11/29/2024,1
RAMCOSYS.NS,12/2/2024,1
RAMGOPOLY.BO,12/4/2024,1
RAMKY.NS,12/4/2024,1
RATNABHUMI.BO,11/29/2024,1
RATHIBAR.BO,12/3/2024,1
RCAN.BO,11/28/2024,1
REGENTRP.BO,12/5/2024,1
RELIGARE.NS,12/5/2024,1
REMIEDEL.BO,12/3/2024,1
REPL.NS,12/2/2024,1
RESPONSINF.BO,12/4/2024,1
RITCO.BO,12/2/2024,1
RNBDENIMS.BO,12/4/2024,1
ROLCOEN.BO,12/5/2024,1
RTNPOWER.NS,12/4/2024,1
RUCHIRA.NS,12/2/2024,1
RUDRA.BO,12/2/2024,1
SAENTER.BO,12/2/2024,1
SAGCEM.NS,12/2/2024,1
SAINTGOBAIN.BO,11/29/2024,1
SALSTEEL.NS,12/3/2024,1
SALZERELEC.NS,12/2/2024,1
SAMBHAAV.NS,12/5/2024,1
SANDHAR.NS,12/4/2024,1
SANDUMA.BO,12/2/2024,1
SBFL.BO,12/2/2024,1
SDL.BO,12/4/2024,1
SECMARK.BO,12/2/2024,1
SESHAPAPER.NS,12/2/2024,1
SGIL.BO,12/2/2024,1
SGL.NS,12/2/2024,1
SHHARICH.BO,12/2/2024,1
SHHARICH.BO,12/3/2024,1
SHISHIND.BO,12/2/2024,1
SHIVALIK.BO,12/3/2024,1
SHIVALIK.BO,12/4/2024,1
SHIVAMAUTO.NS,12/3/2024,1
SHIVAMILLS.NS,12/3/2024,1
SHREECEM.NS,12/2/2024,1
SHREEPUSHK.NS,12/2/2024,1
SHREYANIND.NS,12/2/2024,1
