Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
ACEINTEG.NS,10/21/2024,33,34.31,32.62
ACEINTEG.NS,10/22/2024,33,34.09,32.20
ACEINTEG.NS,10/23/2024,33,33.44,32.20
ACEINTEG.NS,10/24/2024,33,33.98,32.20
ACEINTEG.NS,10/25/2024,33,32.63,31.30
ACEINTEG.NS,10/28/2024,33,32.75,31.30
ACEINTEG.NS,10/29/2024,33,32.43,31.05
ACEINTEG.NS,11/8/2024,33,35.65,31.05
ACEMEN.BO,10/3/2024,85,76.50,60.18
ACEMEN.BO,11/8/2024,85,83.20,67.00
ACESOFT.BO,11/5/2024,257,508.25,394.25
ACC.NS,11/6/2024,2267,2354.94,2187.55
ACGL.BO,10/17/2024,2156,2762.01,2436.00
ACGL.BO,11/1/2024,2156,2498.29,2217.35
ACIIN.BO,10/15/2024,3,2.26,1.88
ACIIN.BO,10/22/2024,3,2.78,2.10
ACIIN.BO,11/8/2024,3,3.48,2.10
ACIIN.BO,11/25/2024,3,2.97,2.47
ACE.NS,9/24/2024,1425,1447.40,1225.05
ACE.NS,10/16/2024,1425,1409.00,1262.00
ACE.NS,11/8/2024,1425,1377.03,1115.50
ACKNIT.BO,9/18/2024,295,353.79,298.55
ACKNIT.BO,11/4/2024,295,313.51,287.70
ACCELYA.NS,10/1/2024,1537,1894.59,1731.60
ACCELYA.NS,10/10/2024,1537,1818.75,1600.10
ACCELYA.NS,11/1/2024,1537,1627.31,1522.55
ACME.BO,9/25/2024,62,38.60,34.30
ACME.BO,10/10/2024,62,35.31,32.30
ACME.BO,11/28/2024,62,80.04,30.80
ADANIGREEN.NS,9/24/2024,1230,2065.66,1780.40
ADANIGREEN.NS,11/6/2024,1230,1709.64,1588.00
ADANIGREEN.NS,12/2/2024,1230,1411.25,870.25
ACROW.BO,9/19/2024,888,788.50,707.00
ACROW.BO,10/3/2024,888,787.75,722.00
ACROW.BO,10/11/2024,888,767.85,725.00
ACROW.BO,11/4/2024,888,733.35,666.20
ACML.BO,9/17/2024,72,78.72,77.90
ACML.BO,9/19/2024,72,78.88,77.90
ACML.BO,9/20/2024,72,76.14,75.05
ACML.BO,9/23/2024,72,75.80,71.30
ACML.BO,9/24/2024,72,73.30,71.30
ACML.BO,9/25/2024,72,72.03,71.30
ACML.BO,9/26/2024,72,71.08,68.34
ACML.BO,9/27/2024,72,70.18,67.70
ACML.BO,9/30/2024,72,70.33,67.51
ACML.BO,10/1/2024,72,72.64,67.51
ACML.BO,10/3/2024,72,70.44,67.51
ACML.BO,10/4/2024,72,70.17,67.51
ACML.BO,10/7/2024,72,67.59,66.67
ACML.BO,10/21/2024,72,72.25,67.70
ACML.BO,11/1/2024,72,72.36,60.10
ADARSHPL.BO,9/19/2024,36,34.66,31.00
ADARSHPL.BO,10/7/2024,36,32.71,30.33
ADARSHPL.BO,10/15/2024,36,34.86,29.14
ADARSHPL.BO,11/1/2024,36,29.70,27.00
ADARSHPL.BO,11/11/2024,36,29.86,27.00
