Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
GENPHARMA.BO,12/5/2024,3.26,8.00,0.00,21.00,8.00,3.24,3.18,3.11,1
GENSOL.BO,12/5/2024,811.95,12.00,0.00,19.00,12.00,0.00,0.00,0.00,1
GEECEE.NS,12/5/2024,426.65,14.00,0.00,17.00,14.00,461.51,444.45,427.38,1
GENUSPAPER.NS,12/5/2024,23.03,12.00,0.00,18.00,12.00,24.65,23.84,23.04,1
GGL.BO,12/5/2024,5.52,11.00,0.00,51.00,11.00,5.70,5.59,5.49,1
GEOJITFSL.NS,12/5/2024,128.13,10.00,0.00,19.00,10.00,132.81,128.20,123.60,1
GEPIL.NS,12/5/2024,441.45,14.00,0.00,19.00,14.00,452.69,439.69,426.70,1
GET&D.NS,12/4/2024,1771.10,26.00,0.00,34.00,26.00,0.00,0.00,0.00,1
GENESYS.NS,12/5/2024,969.80,14.00,0.00,18.00,14.00,1047.59,998.76,949.92,1
GICRE.NS,12/5/2024,412.75,14.00,0.00,19.00,14.00,430.39,419.07,407.74,1
GILADAFINS.BO,12/5/2024,13.06,15.00,0.00,22.00,15.00,13.38,13.02,12.65,1
GFSTEELS.NS,12/4/2024,8.49,46.00,0.00,80.00,46.00,9.37,8.78,8.19,1
GILLANDERS.NS,12/5/2024,128.31,25.00,0.00,42.00,25.00,130.81,125.05,119.28,1
GHCL.NS,12/5/2024,631.90,9.00,0.00,19.00,9.00,671.05,652.83,634.60,1
GKB.BO,12/5/2024,101.01,3.00,0.00,16.00,3.00,103.96,102.34,100.73,1
GICHSGFIN.NS,12/5/2024,220.99,12.00,0.00,18.00,12.00,232.02,226.92,221.83,1
GKCONS.BO,12/5/2024,15.99,4.00,0.00,16.00,4.00,16.03,15.95,15.88,1
GINNIFILA.NS,12/5/2024,31.55,7.00,0.00,18.00,7.00,38.21,37.41,36.61,1
GILLETTE.NS,12/5/2024,9992.65,10.00,0.00,20.00,10.00,16005.53,15354.58,14703.63,1
GIPCL.NS,12/5/2024,211.29,10.00,0.00,18.00,10.00,235.72,227.11,218.50,1
GLAND.NS,12/5/2024,1834.20,14.00,0.00,19.00,14.00,1844.48,1791.72,1738.95,1
GLCL.BO,12/5/2024,39.35,10.00,0.00,25.00,10.00,43.97,42.53,41.08,1
GLOBAL.NS,12/5/2024,196.55,15.00,0.00,22.00,15.00,205.43,199.12,192.81,1
GLITTEKG.BO,12/5/2024,4.27,10.00,0.00,15.00,10.00,4.31,4.25,4.19,1
GLOBALCA.BO,12/5/2024,0.92,6.00,0.00,21.00,6.00,0.93,0.90,0.87,1
GLOBOFFS.BO,12/5/2024,132.60,12.00,0.00,16.00,12.00,144.21,138.32,132.43,1
GLOBE.NS,12/5/2024,4.51,9.00,0.00,19.00,9.00,4.89,4.76,4.63,1
GLENMARK.NS,12/5/2024,1544.65,9.00,0.00,35.00,9.00,1596.52,1573.47,1550.41,1
GLFL.NS,12/5/2024,9.03,11.00,0.00,32.00,11.00,10.24,9.83,9.42,1
GLOBALVECT.NS,12/5/2024,285.30,9.00,0.00,22.00,9.00,301.88,290.82,279.77,1
GLOSTERLTD.BO,12/5/2024,721.10,11.00,0.00,22.00,11.00,743.94,731.45,718.96,1
GMMPFAUDLR.NS,12/5/2024,1277.00,10.00,0.00,33.00,10.00,1299.55,1272.95,1246.34,1
GLOBUSSPR.NS,12/5/2024,890.95,9.00,0.00,18.00,9.00,951.01,937.74,924.46,1
GNA.NS,12/5/2024,429.10,13.00,0.00,18.00,13.00,437.54,428.99,420.45,1
GNRL.BO,12/5/2024,19.05,6.00,0.00,17.00,6.00,20.53,20.00,19.46,1
GMBREW.NS,12/5/2024,820.85,12.00,0.00,18.00,12.00,857.19,846.30,835.42,1
GMDCLTD.NS,12/5/2024,358.05,10.00,0.00,22.00,10.00,370.99,361.77,352.54,1
GODAVARI.BO,12/5/2024,123.60,6.00,0.00,19.00,6.00,130.08,125.12,120.15,1
GMRINFRA.NS,12/5/2024,84.03,14.00,0.00,55.00,14.00,86.74,84.80,82.86,1
