Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target,Last Alert Date
2025-01-15,EWBB_W,Long,SAKTHIFIN.BO,59.0,55.0,250.0,250.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,SALAUTO.BO,560.0,520.0,25.0,25.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SAMRATPH.BO,361.0,338.9,45.25,45.25,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATREW_W,Long,SANGAMIND.NS,416.0,371.8,22.62,22.62,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SANGHIIND.NS,59.0,55.51,286.53,286.53,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SANTETX.BO,168.0,148.0,50.0,50.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_BW,Long,SARTHAKIND.BO,32.67,26.53,162.87,162.87,,,,,KRBPT,,,,2025-01-14
2025-01-15,EWBB_DC,Long,SBFL.BO,27.0,24.08,342.47,342.47,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_W,Long,SCANPRO.BO,135.4,66.62,14.54,14.54,,,,,KRBPT,,,,2000-01-01
2025-01-15,EW_W,Long,SESHAPAPER.NS,302.0,285.0,58.82,58.82,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SGL.NS,17.0,14.63,421.94,421.94,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_UC,Long,SHARIKA.BO,20.0,16.0,250.0,250.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SHGANEL.BO,26.0,23.15,350.88,350.88,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_UC,Long,SHIVAGR.BO,28.0,21.55,155.04,155.04,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,SHRDAIS.BO,295.5,275.0,48.78,48.78,,,,,KRBPT,,,,2025-01-09
2025-01-15,BB_DC,Long,SHYMINV.BO,10.47,9.86,1639.34,1639.34,,,,,KRBPT,,,,2024-12-30
2025-01-15,BB_DC,Long,SIEL.BO,88.0,80.75,137.93,137.93,,,,,KRBPT,,,,2025-01-14
2025-01-15,BB_DC,Long,SIYSIL.NS,948.7,825.05,8.09,8.09,,,,,KRBPT,,,,2025-01-14
2025-01-15,BB_DC,Long,SKFINDIA.NS,4214.75,4184.0,32.52,32.52,,,,,KRBPT,,,5155.55,2024-12-04
2025-01-15,EW_BW,Long,SKYIND.BO,143.0,124.55,54.2,54.2,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SKYLMILAR.BO,19.0,16.7,434.78,434.78,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,SMARTLINK.NS,197.0,178.0,52.63,52.63,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SMFIL.BO,7.0,6.55,2222.22,2222.22,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,SOMATEX.NS,42.0,38.8,312.5,312.5,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,SPENTA.BO,159.0,147.4,86.21,86.21,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,SPORTKING.BO,98.0,92.05,168.07,168.07,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,SPTRSHI.BO,33.33,29.9,291.55,291.55,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_DC,Long,SSWRL.BO,40.0,36.0,250.0,250.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_W,Long,STARLOG.BO,44.0,41.52,403.23,403.23,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,STEELXIND.NS,10.0,9.02,1020.41,1020.41,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_W,Long,STOVEKRAFT.NS,898.45,704.25,5.15,5.15,,,,,KRBPT,,,,2025-01-14
2025-01-15,BB_W,Long,STRATMONT.BO,117.1,102.35,67.8,67.8,,,,,KRBPT,,,135.47,2025-01-03
2025-01-15,EW_UC,Long,SUNCITYSY.BO,21.0,18.53,404.86,404.86,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_W,Long,SUNGOLD.BO,3.39,2.83,1785.71,1785.71,,,,,KRBPT,,,3.78,2024-12-30
2025-01-15,BB_DC,Long,SUNSHIEL.BO,849.95,791.0,16.96,16.96,,,,,KRBPT,,,1020.5,2024-11-11
2025-01-15,BB_W,Long,SUPERHOUSE.NS,198.43,189.6,113.25,113.25,,,,,KRBPT,,,224.11,2024-12-09
2025-01-15,EW_DC,Long,SURYVANSP.BO,25.0,20.9,243.9,243.9,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATR_W,Long,SVAMSOF.BO,10.1,9.17,1075.27,1075.27,,,,,KRBPT,,,11.55,2025-01-01
2025-01-15,EWBB_W,Long,SVCIND.BO,4.0,3.57,2325.58,2325.58,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,SW1.BO,79.62,71.2,118.76,118.76,,,,,KRBPT,,,,2025-01-14
2025-01-15,BB_DC,Long,SWARNSAR.BO,38.95,32.5,155.04,155.04,,,,,KRBPT,,,43.84,2024-12-19
2025-01-15,BB_DC,Long,TAINWALCHM.NS,246.95,236.6,96.62,96.62,,,,,KRBPT,,,323.34,2024-12-06
2025-01-15,EW_BW,Long,TAKE.NS,17.0,13.56,290.7,290.7,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_UC,Long,TEMBO.NS,772.0,705.0,14.93,14.93,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,TERASOFT.NS,204.12,159.55,22.44,22.44,,,,,KRBPT,,,,2025-01-10
2025-01-15,EW_DC,Long,THACKER.BO,1669.0,1461.9,4.83,4.83,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,THERMAX.NS,4014.9,3613.05,2.49,2.49,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_DC,Long,TITANBIO.BO,742.0,685.1,17.57,17.57,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,TRANSFRE.BO,35.05,30.1,202.02,202.02,,,,,KRBPT,,,,2025-01-14
2025-01-15,EWBB_DC,Long,TRIOMERC.BO,1.0,1.0,,,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,TRIVENIENT.BO,2.0,2.02,,,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,ULTRACAB.BO,16.0,14.4,625.0,625.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATREW_UC,Long,UMIYA.BO,30.0,26.72,304.88,304.88,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,UNIAUTO.BO,93.0,78.6,69.44,69.44,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,UNITECH.BO,9.0,8.36,1562.5,1562.5,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,UNIVARTS.BO,6.74,4.62,471.7,471.7,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_DC,Long,UNIVSTAR.BO,162.0,150.0,83.33,83.33,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATREW_DC,Long,UTIAMC.NS,1260.0,1152.2,9.28,9.28,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,VANICOM.BO,13.0,11.36,609.76,609.76,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DT,Long,VCL.NS,0.87,0.83,25000.0,25000.0,,,,,KRBPT,,,0.94,2025-01-03
2025-01-15,EWBB_DC,Long,VEDL.NS,435.0,412.0,43.48,43.48,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,VENTURA.BO,16.0,13.7,434.78,434.78,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,VIDHIING.NS,472.0,425.25,21.39,21.39,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,VINDHYATEL.NS,1837.25,1736.5,9.93,9.93,,,,,KRBPT,,,2214.25,2024-12-12
2025-01-15,EWBB_DC,Long,VINNY.NS,2.0,1.57,2325.58,2325.58,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,VINTRON.BO,38.0,34.59,293.26,293.26,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,VIRATCRA.BO,54.0,49.5,222.22,222.22,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,VISCO.BO,110.0,13.7,10.38,10.38,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,WABAG.NS,1515.0,1407.5,9.3,9.3,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,WALCHANNAG.NS,246.0,228.3,56.5,56.5,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,WARDINMOBI.BO,36.0,33.3,370.37,370.37,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,WELCORP.NS,760.0,712.9,21.23,21.23,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATR_W,Long,WELCURE.BO,10.37,9.59,1282.05,1282.05,,,,,KRBPT,,,12.52,2025-01-06
2025-01-15,EW_DC,Long,WINSOMBR.BO,42.0,36.7,188.68,188.68,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_W,Long,WONDERLA.NS,749.0,707.55,24.13,24.13,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,YUG.BO,40.0,34.55,183.49,183.49,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,ZDHJERK.BO,21.0,19.0,500.0,500.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,ZEAL.BO,12.0,10.61,719.42,719.42,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,ZKHANDEN.BO,95.0,84.2,92.59,92.59,,,,,KRBPT,,,,2025-01-15
