Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
BANKA.NS,2024-10-18,124,105.21,131.42,,140.0,Long,Open
BANKBARODA.NS,2024-10-04,235,242.55,,252.86,255.7,Short,Close
BANKBEES.BO,2024-09-26,529,478.45,,557.23,560.5,Short,Close
BANKINDIA.NS,2024-08-22,101,86.4,,120.82,121.25,Short,Close
BANSWRAS.NS,2024-10-08,131,142.42,133.77,,143.0,Long,Open
BAPACK.BO,2024-10-14,404,242.0,,461.3,468.4,Short,Close
BARBEQUE.BO,2024-10-14,593,499.5,,696.42,704.5,Short,Close
BAROEXT.BO,2024-10-04,11,6.03,,14.28,14.31,Short,Close
BASANTGL.BO,2024-09-24,19,18.51,,22.1,22.29,Short,Close
BASF.NS,2024-10-15,7296,3742.95,8214.92,,8750.0,Long,Open
BASML.NS,2024-09-10,52,37.5,,67.6,69.5,Short,Close
BATAINDIA.NS,2024-10-22,1406,1340.0,,1427.98,1468.8,Short,Close
BATLIBOI.BO,2024-10-04,150,115.6,,183.76,186.6,Short,Close
BAYERCROP.BO,2024-09-26,6576,4930.0,6239.34,,6593.3,Long,Open
BAYERCROP.NS,2024-08-21,6496,5153.2,6291.4,,6415.45,Long,Open
BBL.NS,2024-10-16,4517,4545.0,,5034.0,5062.0,Short,Close
BBOX.NS,2024-10-18,467,450.05,,496.01,502.5,Short,Close
BBTC.NS,2024-10-21,2649,2450.0,,2870.75,2944.0,Short,Close
BBTCL.NS,2024-10-14,213,220.05,,242.59,245.5,Short,Close
BCCFUBA.BO,2024-10-11,94,55.4,,101.17,101.9,Short,Close
BCG.NS,2024-10-04,9,6.86,,9.95,10.09,Short,Close
BCLENTERPR.BO,2024-09-10,1,1.01,0.97,,1.05,Short,Close
BCLIND.NS,2024-10-11,57,45.85,,57.81,68.9,Short,Close
BCONCEPTS.NS,2024-09-05,560,697.75,,724.31,738.9,Short,Close
BCP.BO,2024-10-09,4,4.0,,5.37,6.0,Short,Close
BDH.BO,2024-10-07,318,321.25,,332.63,367.0,Short,Close
BDL.NS,2024-10-11,1044,1222.35,,1222.5,1230.0,Short,Close
BEARDSELL.NS,2024-10-09,44,31.53,,49.52,54.0,Short,Close
BECTORFOOD.NS,2024-10-14,1712,1314.2,,1909.05,1938.0,Short,Close
BEDMUTHA.NS,2024-10-18,221,200.4,,239.1,259.7,Short,Close
BEEKAY.BO,2024-09-23,646,550.0,,750.36,774.0,Short,Close
BEL.NS,2024-10-15,274,267.1,,288.53,289.6,Short,Close
BELLACASA.BO,2024-10-17,520,505.35,,552.6,560.87,Short,Close
BEMHY.BO,2024-10-15,1300,1344.0,,1413.03,1450.0,Short,Close
BEML.NS,2024-10-21,3850,3424.4,,4120.61,4147.95,Short,Close
BENARAS.BO,2024-10-21,8600,7400.0,,8883.78,9350.0,Short,Close
BENGALASM.BO,2024-10-09,9750,7650.0,9128.79,,9384.0,Long,Open
BENGALT.BO,2024-10-04,170,115.0,,218.2,226.85,Short,Close
BEPL.NS,2024-10-16,140,88.5,,159.63,162.9,Short,Close
BERGEPAINT.NS,2024-09-16,541,500.7,,624.64,626.9,Short,Close
BERLDRG.BO,2024-10-08,37,26.0,42.1,,46.0,Long,Open
BERVINL.BO,2024-10-17,62,58.55,,65.01,67.0,Short,Close
BERYLSE.BO,2024-10-16,32,23.37,,35.88,37.09,Short,Close
BESTAGRO.BO,2024-10-18,575,524.0,,624.48,642.7,Short,Close
BESTEAST.BO,2024-09-06,17,15.29,,19.06,19.33,Short,Close
BETXIND.BO,2024-10-10,342,198.0,,376.0,475.0,Short,Close
BFFL.BO,2024-09-17,58,48.6,,64.75,66.0,Short,Close
BFINVEST.NS,2024-10-09,741,554.0,626.05,,678.8,Long,Open
BFLAFL.BO,2021-05-12,22,80.05,,91.75,92.0,Short,Close
BFUTILITIE.NS,2024-10-15,936,735.0,,1097.29,1118.7,Short,Close
BGJL.BO,2024-09-30,16,15.4,19.19,,21.54,Long,Open
BGRENERGY.NS,2024-09-23,41,33.1,,51.37,51.37,Short,Close
BGWTATO.BO,2024-10-09,487,421.2,494.63,,596.3,Long,Open
